,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.89,0.21,0.15,0.13,0.15,0.11,0.16,0.16,0.34,0.2,0.07,0.16,0.17,0.11,0.12,0.16
f_1,0.17,0.89,0.34,0.15,0.13,0.13,0.16,0.11,0.14,0.16,0.14,0.04,0.14,0.11,0.09,0.11
e_1,0.17,0.2,0.89,0.22,0.15,0.1,0.16,0.12,0.15,0.15,0.32,0.14,0.16,0.1,0.04,0.1
c_1,0.19,0.16,0.17,0.88,0.29,0.09,0.15,0.15,0.06,0.12,0.17,0.17,0.15,0.11,0.1,0.13
b_1,0.18,0.21,0.17,0.15,0.88,0.23,0.16,0.12,0.17,0.06,0.11,0.13,0.15,0.11,0.1,0.14
a_1,0.2,0.19,0.21,0.18,0.09,0.88,0.19,0.14,0.18,0.21,0.18,0.11,0.23,0.06,0.14,0.13
h_1,0.28,0.31,0.19,0.21,0.16,0.12,0.56,0.23,0.19,0.19,0.14,0.14,0.1,0.13,0.12,0.22
g_1,0.39,0.19,0.18,0.18,0.16,0.13,0.19,0.56,0.21,0.17,0.14,0.27,0.23,0.12,0.12,0.07
c_0,0.26,0.25,0.2,0.13,0.14,0.14,0.21,0.18,0.45,0.43,0.21,0.21,0.24,0.17,0.14,0.17
b_0,0.25,0.27,0.22,0.24,0.1,0.1,0.22,0.19,0.21,0.42,0.21,0.18,0.25,0.26,0.14,0.15
d_0,0.11,0.2,0.23,0.47,0.17,0.11,0.22,0.17,0.16,0.18,0.4,0.19,0.21,0.15,0.14,0.16
f_0,0.25,0.17,0.17,0.25,0.22,0.13,0.2,0.19,0.21,0.22,0.19,0.41,0.25,0.12,0.28,0.18
h_0,0.28,0.28,0.21,0.22,0.18,0.11,0.15,0.25,0.2,0.22,0.19,0.19,0.13,0.14,0.17,0.21
a_0,0.28,0.24,0.19,0.23,0.19,0.06,0.24,0.2,0.2,0.24,0.21,0.2,0.27,0.4,0.14,0.22
e_0,0.26,0.26,0.08,0.27,0.2,0.13,0.2,0.2,0.22,0.24,0.16,0.19,0.27,0.2,0.4,0.19
g_0,0.35,0.2,0.19,0.22,0.21,0.13,0.23,0.12,0.23,0.2,0.16,0.28,0.2,0.11,0.15,0.11
