,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.13,3.79,5.33,4.41,5.33,4.17,1.06,0.9,1.45,0.86,0.93,2.05,0.61,0.98,1.01,0.98
e_1,2.71,1.13,5.23,4.65,5.45,5.35,1.53,1.33,2.0,1.09,0.95,1.37,0.8,3.85,1.11,0.87
c_1,4.78,5.27,1.13,7.43,5.75,5.46,1.67,0.62,1.73,1.97,1.22,0.97,0.73,0.75,0.89,0.74
d_1,6.8,7.77,6.03,1.12,5.98,5.27,1.8,3.45,1.09,1.07,1.29,1.2,0.93,1.42,1.45,0.59
b_1,8.0,7.12,3.4,7.68,1.13,8.22,1.87,1.68,1.74,2.25,3.1,1.45,0.99,1.13,1.41,0.81
a_1,11.23,10.3,9.7,11.91,4.15,1.14,3.24,2.88,2.99,2.26,2.45,1.87,1.35,1.75,3.89,1.69
h_1,17.87,16.35,17.66,13.92,21.49,15.2,1.77,3.37,4.88,3.69,3.36,3.34,5.54,3.16,3.35,2.17
d_0,22.39,10.59,25.28,49.63,21.66,19.26,6.7,2.31,6.48,4.88,4.22,3.77,3.1,5.01,4.02,3.39
g_1,28.4,19.09,23.17,23.27,27.94,24.96,4.72,4.32,1.79,4.51,4.18,3.95,2.52,4.69,4.02,5.94
c_0,25.37,25.75,66.74,11.77,27.39,30.18,6.45,7.24,6.06,2.34,6.06,5.61,3.21,4.57,5.17,3.46
b_0,33.39,21.99,42.24,20.54,82.18,25.92,8.64,6.13,7.19,2.62,2.36,5.87,4.0,5.63,5.25,4.14
f_0,55.16,25.58,32.09,28.36,27.39,27.7,8.0,6.76,5.89,4.96,5.12,2.3,4.51,4.69,6.03,2.23
h_0,41.82,32.7,39.73,31.68,31.39,33.7,23.35,7.17,10.9,7.56,8.37,7.54,8.08,6.2,6.96,6.06
e_0,55.97,72.31,45.71,32.37,37.76,36.11,9.71,7.03,9.62,8.29,8.37,4.55,4.62,2.6,6.83,4.44
a_0,37.68,30.32,49.07,36.77,53.73,69.72,13.09,7.97,12.11,6.88,4.47,10.31,6.69,10.76,2.59,6.43
g_0,64.51,51.51,48.36,41.36,43.66,42.13,10.16,9.31,20.44,9.6,8.64,7.77,4.0,6.91,7.87,10.5
