,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.42,0.54,0.88,0.91,0.83,0.83,0.5,0.46,0.43,0.38,0.37,0.44,0.4,0.34,0.43,0.37
f_1,0.91,0.41,0.77,0.84,0.71,0.75,0.32,0.52,0.38,0.37,0.36,0.5,0.33,0.23,0.32,0.29
d_1,0.84,0.87,0.39,0.75,0.8,0.81,0.43,0.31,0.53,0.42,0.4,0.35,0.36,0.29,0.38,0.21
c_1,0.65,0.84,0.97,0.39,1.01,0.8,0.45,0.4,0.24,0.42,0.34,0.34,0.36,0.28,0.32,0.3
b_1,0.85,0.97,0.84,0.5,0.36,0.92,0.47,0.48,0.37,0.4,0.55,0.47,0.3,0.36,0.4,0.38
a_1,0.82,0.92,0.84,0.89,0.5,0.3,0.53,0.58,0.38,0.4,0.46,0.3,0.73,0.35,0.38,0.42
h_1,0.7,0.81,0.68,0.71,0.71,0.64,0.25,0.42,0.31,0.32,0.33,0.35,0.29,0.36,0.28,0.31
g_1,0.73,0.82,0.74,0.78,0.69,0.61,0.3,0.23,0.37,0.33,0.34,0.36,0.35,0.28,0.31,0.3
d_0,0.46,0.74,0.89,0.96,0.81,0.82,0.42,0.38,0.25,0.3,0.34,0.29,0.32,0.29,0.36,0.3
c_0,0.76,0.73,0.43,1.21,0.92,0.7,0.42,0.43,0.46,0.24,0.39,0.33,0.34,0.32,0.35,0.26
b_0,0.68,0.73,0.59,0.94,1.01,0.62,0.39,0.39,0.35,0.19,0.23,0.32,0.37,0.31,0.33,0.29
f_0,0.71,1.06,0.66,0.78,0.66,0.78,0.38,0.27,0.38,0.3,0.29,0.21,0.29,0.32,0.36,0.19
a_0,0.65,0.81,0.75,0.72,1.03,0.76,0.39,0.35,0.32,0.27,0.21,0.29,0.22,0.3,0.37,0.32
h_0,0.66,0.89,0.71,0.77,0.65,0.6,0.51,0.37,0.31,0.28,0.31,0.28,0.28,0.34,0.32,0.3
e_0,1.01,0.95,0.66,0.7,0.74,0.63,0.4,0.37,0.32,0.29,0.34,0.17,0.26,0.23,0.2,0.24
g_0,0.76,0.77,0.71,0.79,0.65,0.59,0.29,0.54,0.32,0.31,0.33,0.33,0.26,0.21,0.28,0.33
