,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.43,0.83,0.9,0.88,0.79,0.72,0.2,0.29,0.19,0.19,0.18,0.29,0.11,0.17,0.19,0.16
e_1,0.57,0.42,1.02,1.01,1.01,0.92,0.27,0.3,0.19,0.2,0.19,0.26,0.13,0.24,0.19,0.15
d_1,1.01,1.01,0.41,0.98,0.92,0.81,0.25,0.18,0.18,0.26,0.18,0.16,0.12,0.17,0.15,0.09
c_1,0.98,0.77,1.3,0.39,1.01,0.95,0.29,0.29,0.26,0.12,0.2,0.19,0.13,0.23,0.2,0.14
b_1,1.22,1.1,1.03,0.59,0.38,0.91,0.28,0.29,0.29,0.21,0.28,0.2,0.17,0.22,0.23,0.15
a_1,1.35,1.51,1.29,1.2,0.77,0.31,0.4,0.42,0.29,0.32,0.34,0.29,0.2,0.26,0.33,0.2
h_1,1.79,1.69,1.74,1.7,1.69,1.35,0.29,0.48,0.35,0.36,0.34,0.37,0.31,0.34,0.33,0.25
g_1,1.93,1.81,1.97,1.79,1.95,1.91,0.46,0.27,0.38,0.42,0.35,0.37,0.2,0.33,0.36,0.26
c_0,2.33,2.25,1.21,3.04,1.78,1.7,0.62,0.57,0.29,0.63,0.42,0.41,0.29,0.39,0.36,0.25
d_0,2.02,1.3,2.78,2.13,2.25,2.25,0.66,0.7,0.41,0.3,0.41,0.44,0.3,0.49,0.49,0.36
b_0,2.07,1.9,1.76,2.77,2.46,1.83,0.65,0.57,0.26,0.48,0.29,0.41,0.31,0.39,0.38,0.26
f_0,2.47,2.0,2.04,1.91,1.9,2.16,0.56,0.38,0.4,0.45,0.39,0.28,0.31,0.51,0.39,0.18
h_0,2.33,2.38,2.53,2.49,2.36,2.28,0.85,0.74,0.46,0.54,0.45,0.48,0.44,0.42,0.4,0.32
e_0,3.43,2.68,2.19,2.67,2.54,2.11,0.8,0.61,0.46,0.53,0.43,0.28,0.37,0.26,0.43,0.25
a_0,2.84,2.46,2.6,2.98,2.78,2.81,0.63,0.59,0.44,0.59,0.29,0.47,0.41,0.45,0.26,0.33
g_0,2.99,2.83,2.83,2.67,2.83,2.56,0.56,0.86,0.51,0.54,0.54,0.53,0.35,0.5,0.44,0.48
