,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.36,1.06,0.94,1.25,1.03,0.75,2.05,1.64,2.17,3.51,2.25,2.31,2.63,1.79,1.43,2.55
f_1,1.75,2.39,0.98,1.03,0.77,0.68,1.91,1.69,2.04,2.17,2.16,1.5,2.47,1.84,1.18,2.17
d_1,1.05,1.25,2.4,0.81,0.82,0.71,2.09,1.96,3.73,1.61,2.58,2.25,2.81,2.08,2.19,2.67
c_1,1.05,1.08,0.9,2.51,1.76,0.81,1.77,1.61,1.39,2.16,1.56,1.82,2.45,1.78,1.57,2.06
b_1,1.03,1.1,1.09,0.95,2.7,1.69,1.94,1.7,2.01,1.89,1.49,1.75,2.77,1.52,1.65,2.45
a_1,0.97,1.18,1.24,1.1,0.86,3.31,1.85,1.61,2.32,2.39,2.19,1.98,3.27,1.4,1.95,2.7
h_1,1.13,1.41,1.23,1.12,1.01,0.73,3.5,2.41,2.23,2.0,2.21,2.12,2.09,2.3,2.02,3.41
g_1,0.96,1.03,1.74,0.91,0.97,0.83,2.15,3.87,2.63,1.69,2.1,3.28,3.14,2.23,2.14,2.28
c_0,1.26,1.29,1.27,0.94,0.84,0.77,2.21,2.04,3.31,2.23,3.65,2.24,3.04,2.66,2.23,3.22
d_0,1.05,1.12,0.91,1.86,1.19,0.75,1.95,1.85,1.69,3.34,2.03,2.29,2.62,2.2,2.1,2.52
b_0,1.26,1.27,1.17,1.23,0.81,0.66,2.23,1.86,2.24,2.57,3.51,2.33,3.12,3.84,2.15,2.92
f_0,0.9,1.14,1.25,1.27,1.02,0.79,2.38,1.98,2.43,2.39,2.49,3.63,3.24,2.38,4.18,2.63
h_0,1.25,1.58,1.26,0.96,0.89,0.7,1.66,2.16,2.43,2.1,2.06,2.4,2.47,2.18,2.15,3.5
a_0,1.24,1.21,1.34,1.08,1.04,0.78,2.17,1.8,2.57,2.16,2.17,2.08,3.07,3.4,1.93,2.94
e_0,0.88,1.22,1.23,1.47,1.16,0.71,2.08,1.59,2.34,2.36,2.46,2.22,3.03,2.54,3.78,2.93
g_0,1.1,1.11,1.59,1.01,0.97,0.68,2.22,1.62,2.68,2.01,2.29,3.1,2.78,2.24,2.47,2.46
