,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.12,2.49,4.12,5.36,5.06,4.09,1.3,0.95,1.42,0.94,0.92,1.17,0.63,0.93,0.67,2.23
f_1,4.32,1.12,4.07,4.51,4.88,3.71,0.98,0.9,1.43,0.83,1.01,1.51,0.48,0.82,0.86,0.86
d_1,4.62,4.56,1.11,5.68,4.72,5.33,1.32,2.34,0.81,0.93,0.91,0.99,0.62,0.89,0.41,0.85
c_1,4.37,5.46,6.6,1.12,4.71,4.52,1.64,0.54,1.54,1.81,1.06,0.92,0.72,0.93,0.74,0.72
b_1,6.45,6.8,6.88,2.83,1.13,5.62,2.08,1.22,1.77,2.03,2.86,1.23,0.9,1.23,0.93,1.26
a_1,7.71,10.95,9.21,8.06,3.68,1.13,1.94,1.83,3.67,1.77,1.86,1.62,1.55,4.95,1.19,1.35
h_1,15.78,17.04,15.01,15.48,14.47,15.19,1.74,3.52,4.92,2.94,3.31,3.06,4.07,3.17,2.77,3.48
d_0,11.46,18.27,42.06,16.9,19.78,18.67,5.75,2.24,5.89,4.9,3.71,3.83,2.85,4.1,3.13,4.28
g_1,22.85,20.04,14.69,19.79,21.82,19.38,4.39,4.88,1.71,3.82,4.49,3.76,2.07,3.61,4.76,3.74
c_0,20.24,20.51,10.11,35.94,21.31,24.82,5.55,7.4,5.27,2.15,4.39,4.71,2.99,3.84,3.43,4.55
b_0,20.46,18.47,19.47,26.96,38.72,26.78,5.67,5.14,5.89,2.29,2.11,4.23,2.6,3.5,3.05,3.48
f_0,22.43,42.49,21.98,22.66,19.78,20.56,5.67,4.64,4.11,4.31,3.9,2.15,2.81,3.8,1.95,4.18
h_0,28.21,26.13,27.26,30.36,34.36,25.12,12.81,5.9,8.38,5.53,5.7,6.18,7.12,4.51,4.41,5.46
a_0,38.79,34.58,27.93,31.27,46.59,70.17,11.34,6.41,9.08,5.94,3.73,7.01,5.85,2.54,5.33,8.88
g_0,32.67,38.76,33.08,36.79,44.34,32.82,6.67,7.83,17.21,6.0,6.24,6.05,3.95,7.08,6.74,8.45
e_0,65.33,45.81,37.44,32.57,28.05,35.09,8.27,6.8,8.72,6.48,6.52,3.55,5.14,7.08,3.68,2.48
