,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,17.59,0.6,0.41,0.61,0.45,0.47,0.82,0.93,2.11,1.04,1.04,1.0,0.88,1.06,1.0,0.66
f_1,1.02,16.17,0.59,0.54,0.4,0.57,0.99,0.73,0.81,0.69,1.02,0.31,0.94,0.71,1.02,0.56
d_1,0.48,0.6,18.64,0.41,0.55,0.58,0.93,0.91,0.28,2.22,1.21,0.96,1.04,1.02,0.88,0.79
c_1,0.51,0.58,0.48,18.85,1.19,0.36,0.8,0.74,0.83,0.26,0.57,0.93,0.81,1.04,0.89,0.97
b_1,0.52,0.54,0.56,0.49,23.9,1.12,0.74,0.72,0.71,0.64,0.27,0.96,0.75,0.91,0.76,0.86
a_1,0.41,0.46,0.59,0.7,0.49,35.2,1.02,0.92,0.91,1.0,0.95,0.84,0.32,1.18,0.96,1.46
h_1,0.69,0.93,0.62,0.69,0.68,0.43,5.48,1.46,1.16,1.18,1.27,1.12,1.08,0.75,1.57,1.28
g_1,0.57,0.38,1.25,0.79,0.62,0.78,1.02,5.98,0.9,1.12,1.01,2.38,1.03,0.96,0.66,1.23
d_0,0.66,0.67,0.38,1.63,0.63,0.64,0.96,1.17,3.23,0.73,1.14,1.38,0.94,1.23,1.07,1.33
c_0,0.64,0.84,0.87,0.4,0.48,0.78,1.03,1.17,1.04,3.4,2.69,1.45,1.55,1.34,1.24,1.13
b_0,0.57,0.84,0.73,0.77,0.28,0.81,1.12,1.4,1.23,1.06,4.06,1.47,2.97,1.44,1.62,1.25
f_0,0.44,0.35,0.98,0.82,0.61,0.74,1.55,1.57,1.34,1.25,1.4,3.95,1.64,1.51,1.28,3.39
a_0,0.59,0.73,1.05,0.66,0.57,0.27,1.23,1.25,1.13,0.99,1.57,1.42,4.88,0.98,1.61,1.65
h_0,0.54,1.16,0.8,0.68,0.66,0.68,0.51,1.42,0.96,1.08,1.01,0.96,1.44,0.54,1.87,1.1
g_0,0.59,0.53,1.28,0.56,0.78,0.63,0.93,0.86,1.28,1.33,1.06,2.43,1.4,1.45,0.78,1.29
e_0,0.25,0.94,0.77,0.86,0.88,0.74,1.21,1.22,1.31,1.03,1.13,1.43,1.04,1.32,1.16,5.04
