,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.95,0.73,0.42,0.42,0.34,0.24,0.27,0.25,0.26,0.24,0.22,0.14,0.21,0.16,0.11,0.21
e_1,0.46,0.95,0.38,0.53,0.41,0.28,0.3,0.2,0.27,0.48,0.25,0.24,0.27,0.23,0.16,0.24
d_1,0.54,0.51,0.95,0.37,0.38,0.32,0.33,0.26,0.45,0.19,0.29,0.25,0.25,0.2,0.16,0.2
c_1,0.52,0.42,0.49,0.94,0.63,0.31,0.27,0.27,0.18,0.23,0.22,0.26,0.27,0.19,0.21,0.19
b_1,0.57,0.46,0.45,0.43,0.94,0.51,0.3,0.27,0.31,0.28,0.22,0.24,0.28,0.17,0.19,0.2
a_1,0.68,0.53,0.54,0.5,0.4,0.94,0.42,0.35,0.35,0.37,0.37,0.26,0.31,0.22,0.23,0.28
h_1,1.05,0.78,0.68,0.72,0.5,0.41,0.76,0.59,0.45,0.41,0.42,0.32,0.38,0.34,0.32,0.4
g_1,0.75,0.78,1.08,0.64,0.66,0.5,0.38,0.75,0.57,0.32,0.49,0.58,0.41,0.34,0.34,0.35
c_0,1.03,0.86,0.72,0.64,0.54,0.44,0.55,0.43,0.66,0.55,0.78,0.49,0.49,0.41,0.36,0.41
d_0,0.94,0.7,0.6,1.25,0.67,0.39,0.57,0.5,0.33,0.65,0.48,0.32,0.5,0.33,0.3,0.33
b_0,1.05,0.88,0.86,0.83,0.45,0.44,0.56,0.45,0.4,0.47,0.66,0.39,0.46,0.58,0.36,0.39
f_0,0.7,0.77,0.86,0.73,0.77,0.62,0.56,0.43,0.47,0.61,0.6,0.68,0.56,0.46,0.66,0.36
h_0,1.29,0.91,0.93,0.71,0.78,0.54,0.35,0.54,0.46,0.45,0.47,0.37,0.38,0.37,0.34,0.43
a_0,1.18,0.85,0.96,0.93,0.87,0.36,0.59,0.45,0.53,0.56,0.45,0.41,0.57,0.63,0.3,0.42
e_0,1.2,0.72,1.08,0.81,0.79,0.47,0.57,0.63,0.52,0.62,0.56,0.45,0.54,0.6,0.66,0.41
g_0,0.95,0.89,1.3,0.94,0.84,0.52,0.55,0.41,0.54,0.54,0.53,0.64,0.5,0.4,0.44,0.34
