,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,113.55,49.81,96.9,73.97,84.9,311.46,6981.27,12596.3,19024.62,21599.73,17770.36,33337.27,76170.61,128268.37,124291.82,95263.39
d_1,65.01,117.38,62.03,60.42,95.47,274.14,7192.64,14106.11,13500.82,40304.97,30544.74,43439.36,93754.91,118656.44,129826.03,132722.58
e_1,48.86,49.24,120.42,80.0,101.16,395.9,7619.53,14696.4,29052.71,25241.0,31607.35,41384.58,97172.42,127881.82,127795.3,114484.25
c_1,53.02,56.75,49.13,139.72,148.34,242.52,6511.25,11708.16,14008.01,12385.58,24590.45,26205.51,84453.88,117236.54,105933.19,126543.32
b_1,51.86,48.32,46.89,53.67,179.83,519.69,7033.48,12270.59,14858.13,21528.22,24097.89,21662.19,68040.08,114978.73,83619.95,121969.26
a_1,33.43,38.98,28.67,47.71,39.48,519.45,4147.41,8488.27,10946.8,13617.06,17916.93,22632.13,50438.53,67705.4,37184.92,74024.56
h_1,18.49,16.1,14.56,23.12,24.46,87.33,3149.52,4493.63,4879.13,6229.56,6934.6,9801.97,16357.43,43858.22,29491.65,40219.99
g_1,11.06,17.88,12.0,16.72,18.53,72.28,1455.24,5311.1,3308.44,5550.2,8090.14,8634.14,17446.39,20549.9,21431.26,30857.35
d_0,11.22,10.42,10.58,24.82,21.95,70.74,1732.84,3343.38,5277.58,3936.21,4929.76,7358.63,17177.29,26781.22,26908.89,28456.22
c_0,11.05,10.39,10.51,12.26,16.63,74.73,1560.92,3179.35,4306.31,6765.21,6128.59,11831.02,18484.35,26851.58,28644.29,31162.16
f_0,7.99,12.08,9.07,13.52,19.13,66.23,1512.23,2954.06,3574.26,4713.14,7618.58,7418.89,16138.11,21037.27,23806.24,43300.59
b_0,10.41,10.35,8.22,15.06,12.29,49.49,1358.28,2161.92,3277.2,3467.28,4973.44,8870.19,16676.0,23263.55,38603.18,25738.86
h_0,9.71,8.3,7.39,9.21,13.88,43.76,809.23,2318.9,2295.65,3136.06,4151.56,4970.68,9067.89,21233.37,16406.13,15791.02
g_0,5.88,9.32,6.85,8.74,10.01,41.18,865.97,1475.39,1966.92,3109.29,4726.01,4578.16,8173.21,11662.2,16208.55,16252.57
a_0,6.07,7.08,6.48,8.02,12.26,34.31,984.85,1664.54,2206.22,2419.83,3671.74,3399.42,11288.7,15670.16,23692.34,12522.6
e_0,6.49,7.2,4.21,8.5,11.53,38.45,941.17,1772.14,2010.05,2473.75,2879.52,4487.4,11260.3,16283.34,17673.28,25306.92
