,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,0.98,0.58,0.9,0.94,0.97,0.27,0.3,0.22,0.2,0.23,0.24,0.15,0.18,0.24,0.15
d_1,1.16,0.41,1.05,0.86,0.86,0.81,0.25,0.18,0.26,0.18,0.19,0.17,0.12,0.18,0.15,0.1
f_1,0.97,0.86,0.41,0.91,0.91,0.85,0.2,0.28,0.19,0.19,0.18,0.23,0.1,0.19,0.16,0.13
c_1,0.76,1.21,0.99,0.4,1.0,0.84,0.28,0.28,0.12,0.25,0.21,0.19,0.13,0.18,0.18,0.13
b_1,1.01,1.05,1.12,0.61,0.39,0.98,0.34,0.31,0.22,0.27,0.3,0.23,0.15,0.19,0.22,0.15
a_1,1.15,1.23,1.26,1.47,0.7,0.33,0.35,0.39,0.32,0.25,0.31,0.28,0.23,0.34,0.29,0.18
h_1,1.71,1.71,1.9,1.75,1.57,1.64,0.28,0.54,0.42,0.37,0.38,0.35,0.34,0.31,0.33,0.23
g_1,2.01,1.8,1.85,1.92,1.69,1.47,0.39,0.27,0.37,0.35,0.35,0.34,0.22,0.3,0.35,0.3
d_0,1.24,2.68,1.92,2.23,1.99,1.86,0.59,0.71,0.31,0.43,0.47,0.37,0.3,0.39,0.36,0.29
c_0,2.21,1.28,2.03,2.65,1.9,1.64,0.56,0.51,0.66,0.3,0.42,0.44,0.3,0.39,0.4,0.27
b_0,1.94,1.69,1.95,3.0,3.06,1.59,0.55,0.56,0.47,0.24,0.28,0.41,0.29,0.32,0.37,0.3
f_0,2.25,1.96,2.4,2.7,2.07,1.63,0.62,0.41,0.48,0.39,0.42,0.28,0.31,0.36,0.4,0.19
h_0,2.61,2.61,2.28,2.42,2.39,2.2,0.79,0.69,0.47,0.49,0.5,0.46,0.43,0.41,0.39,0.3
a_0,2.53,2.34,2.5,2.74,3.31,2.52,0.79,0.73,0.57,0.42,0.31,0.48,0.35,0.27,0.47,0.32
e_0,3.05,2.52,3.08,2.91,2.83,2.24,0.73,0.63,0.57,0.5,0.51,0.28,0.35,0.47,0.26,0.26
g_0,3.11,2.81,2.41,2.86,2.83,2.58,0.62,0.97,0.68,0.57,0.56,0.57,0.29,0.48,0.46,0.41
