,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.15,0.88,0.98,0.92,0.73,0.59,0.65,0.58,0.69,0.58,0.57,0.51,0.54,0.46,0.53
e_1,0.89,1.0,0.9,1.09,0.98,0.86,0.76,0.92,0.59,0.67,0.7,0.73,0.62,0.57,0.62,0.63
d_1,1.13,1.11,1.0,0.91,0.94,0.77,0.68,0.72,0.89,0.57,0.68,0.61,0.62,0.63,0.57,0.49
c_1,1.02,0.92,1.08,1.0,1.23,0.91,0.68,0.49,0.59,0.58,0.5,0.61,0.6,0.56,0.59,0.57
b_1,1.07,1.03,1.06,0.82,1.0,1.27,0.8,0.66,0.75,0.72,0.75,0.67,0.68,0.52,0.59,0.67
a_1,1.33,1.13,1.27,1.08,0.83,1.0,0.94,0.77,0.8,0.87,0.77,0.69,0.68,0.73,0.65,0.62
h_1,1.68,1.34,1.46,1.47,1.23,0.98,1.0,0.87,0.87,1.08,0.88,0.78,0.8,0.84,0.77,0.84
d_0,1.51,1.12,1.35,2.05,1.61,1.25,1.13,1.0,0.86,1.08,0.89,1.05,0.96,0.88,0.95,0.93
c_0,1.71,1.72,1.15,1.68,1.32,1.31,1.13,1.11,1.0,1.06,1.33,0.86,1.0,1.1,0.87,0.87
g_1,1.54,1.46,1.87,1.64,1.43,1.13,0.93,0.89,0.98,1.0,0.97,1.09,0.82,0.8,0.83,0.87
b_0,1.74,1.46,1.42,1.85,1.4,1.34,1.12,1.09,0.78,1.01,1.0,0.81,0.97,1.18,0.8,0.79
f_0,1.69,1.36,1.66,1.65,1.59,1.4,1.27,0.99,1.16,0.91,1.13,1.0,0.96,1.07,1.37,0.83
h_0,1.9,1.6,1.64,1.67,1.5,1.46,1.21,1.01,0.97,1.24,1.08,1.04,0.99,0.84,0.85,1.07
a_0,1.88,1.77,1.54,1.7,1.82,1.34,1.17,1.02,0.95,1.23,0.9,0.94,1.23,0.99,0.81,0.95
e_0,2.05,1.61,1.69,1.79,1.77,1.62,1.28,1.0,1.13,1.2,1.19,0.68,1.18,1.11,1.0,0.97
g_0,1.88,1.62,2.01,1.78,1.5,1.46,1.19,1.06,1.16,1.15,1.25,1.22,0.92,1.08,1.05,1.0
