,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,115.63,54.8,59.68,85.73,101.93,276.15,8778.84,13487.92,33700.97,25127.02,30582.44,36481.88,86618.01,75895.56,151191.34,126808.4
f_1,89.88,123.7,61.16,57.03,88.38,222.64,8603.78,12647.01,18513.4,21972.57,16784.45,32808.82,79057.42,73992.75,114653.8,108963.09
d_1,55.62,69.07,132.16,52.93,81.11,269.56,9123.46,11886.82,16608.33,33976.22,25506.91,38292.75,76971.61,93092.34,144364.08,123512.53
c_1,41.35,61.93,63.67,132.48,134.09,309.83,8564.82,11999.29,17525.42,10837.2,24905.39,24200.75,79936.67,88092.02,120892.41,103684.45
b_1,45.34,54.03,62.68,50.47,173.14,413.49,7220.05,11628.93,18592.12,19744.41,18381.18,16767.2,84495.5,81359.21,111396.38,85874.35
a_1,32.6,39.99,41.1,38.56,46.0,458.64,5817.15,9051.36,12216.52,15105.07,17868.12,20084.01,47843.4,49426.49,86986.14,56964.82
h_1,14.24,20.05,18.0,17.05,23.23,68.28,3604.31,3986.78,4868.63,6135.11,6428.59,8615.26,17566.72,19221.83,41950.8,28295.06
g_1,10.74,11.21,20.57,17.01,19.59,57.64,1811.07,5108.54,4011.79,5268.73,8608.82,8238.17,18413.33,23131.68,25539.06,24159.6
d_0,9.47,12.5,7.58,23.06,17.52,58.24,1772.09,3000.96,5859.21,3740.24,5720.72,5383.85,17217.23,18225.21,26124.63,23785.09
c_0,11.76,12.45,12.79,12.88,14.66,52.76,1910.19,3011.11,4389.87,6408.53,5980.94,11070.58,17998.37,20082.09,27180.82,28523.8
f_0,8.48,10.29,13.76,14.29,18.57,58.36,1648.82,2229.91,3773.61,4475.51,7286.47,6054.96,15085.72,33809.41,24421.53,23465.52
b_0,10.48,10.98,11.5,13.46,12.92,50.96,1556.38,2444.42,3913.96,3332.89,5336.99,8499.03,16427.24,17449.56,28773.88,36174.65
h_0,7.52,10.54,9.73,9.23,11.08,37.91,936.18,2333.09,2762.98,2764.11,3837.47,4031.79,9794.12,11996.19,23490.59,15574.74
e_0,4.86,8.62,8.91,9.3,9.88,43.16,1301.37,1691.42,2862.04,2980.22,2501.71,3784.11,12318.63,20308.13,16650.1,13359.68
g_0,5.88,6.83,10.26,7.89,9.54,33.3,1019.28,1501.77,2111.47,2658.36,4444.36,3815.81,8289.43,12045.43,14076.56,12837.17
a_0,6.02,8.08,8.75,8.36,9.5,25.34,1159.51,1896.12,2158.4,2551.25,3011.2,3466.34,10982.97,12529.32,16072.38,22281.58
