,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11149.57,7489.71,5572.2,6494.99,10679.12,42392.38,4427964.61,11721005.17,19802653.95,23384123.26,33863819.61,32674252.35,148182018.32,125773831.69,140241578.66,307214762.76
e_1,4353.33,12783.64,7863.68,5481.95,11201.24,50253.82,4940548.45,14229187.01,37317483.68,23165077.26,36878412.9,47367509.25,147329060.6,130370121.67,131763962.07,351771547.21
c_1,3979.6,3955.97,18026.76,6837.54,19616.07,54731.09,4619430.84,13771222.51,19761550.07,10701379.19,24119392.49,48939810.03,158255431.67,120665551.26,218337713.47,334953473.05
d_1,4446.69,4534.57,4753.89,19014.69,11762.14,52143.72,5027945.53,13465213.48,12082996.99,42201695.47,42835142.55,49947630.64,153717794.51,162578925.41,222356327.21,336170226.51
b_1,4226.83,4291.04,6485.81,5698.14,38495.0,111166.23,5011620.83,13711086.11,20610294.75,22935381.14,18539318.63,49123818.84,129650883.43,121953998.57,224799794.87,329576879.9
a_1,4486.93,4898.03,6059.97,7634.2,10582.34,266901.0,5246357.82,13936199.92,19742635.51,25589669.96,34753137.94,48822847.5,145859278.12,96467245.9,199019935.6,247494219.47
h_1,5732.06,4725.1,6539.93,8114.55,12577.47,50584.21,10267584.5,19809983.64,20581644.67,26082822.35,34542771.72,48325725.16,121561317.65,144028096.74,230317378.93,542294464.32
g_1,4189.32,3525.01,7028.9,11508.85,11304.83,59105.64,4898693.43,36133166.27,19622749.96,25605767.84,36362923.37,84772785.09,162898507.92,165822417.48,316056208.54,309594381.05
d_0,4192.77,4670.11,12876.76,4795.21,14005.91,57541.95,5003640.28,14387774.5,34230444.27,16519274.13,35660957.94,52699242.65,174758499.58,115805247.03,240314828.49,420158140.61
c_0,5543.83,4948.74,5627.54,7865.98,9529.96,69989.72,6015612.47,14729023.78,22266226.5,40855373.33,70098354.5,53967027.4,178389267.64,183060684.09,245724132.37,342297197.88
b_0,5520.23,5135.96,7688.5,7678.86,7849.8,57373.15,5488916.58,15672112.55,21390586.07,26792523.77,65704257.23,48597716.06,195904798.66,297590489.16,222411324.75,398901311.01
f_0,3789.17,4087.43,8444.02,7222.89,12600.17,72345.93,6576316.24,17095057.29,26306030.35,26155835.67,31618135.59,103894424.54,191702583.57,105699339.9,509273177.34,429936357.18
h_0,6202.47,5336.18,6870.62,7514.03,11950.82,57476.44,3175776.9,20819151.78,20787508.17,24745872.65,34309643.55,59716659.16,140880721.79,162074252.82,196562419.47,509982524.94
a_0,4934.62,5643.07,6918.1,7427.82,13034.04,55936.47,5769283.51,12273625.89,16723916.22,26748529.48,40092303.38,48957726.22,183793671.57,323572344.05,176746614.61,375674887.64
e_0,5291.55,3391.12,7110.48,6790.57,14770.82,69306.35,5652954.64,18545434.85,23872409.19,22193262.2,36780365.25,67412311.17,201882858.75,147509924.19,518151723.86,438685450.09
g_0,4120.13,4182.99,7070.27,10500.66,13331.05,60560.55,5089970.69,14721605.0,18509522.9,27962338.19,33923056.01,79817085.32,180382537.4,144363045.81,259410923.28,270517274.34
