,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.92,0.46,0.39,0.31,0.27,0.22,0.38,0.28,0.6,0.28,0.45,0.31,0.3,0.4,0.24,0.33
f_1,0.42,0.92,0.62,0.34,0.31,0.19,0.37,0.29,0.35,0.41,0.32,0.22,0.27,0.33,0.14,0.28
e_1,0.4,0.45,0.91,0.47,0.33,0.22,0.36,0.27,0.34,0.57,0.34,0.25,0.26,0.34,0.17,0.28
c_1,0.43,0.4,0.33,0.91,0.54,0.3,0.35,0.3,0.2,0.34,0.2,0.29,0.23,0.33,0.21,0.3
b_1,0.41,0.39,0.36,0.39,0.9,0.45,0.33,0.3,0.33,0.34,0.22,0.29,0.2,0.34,0.2,0.28
a_1,0.41,0.42,0.37,0.41,0.38,0.9,0.43,0.32,0.31,0.36,0.32,0.34,0.19,0.37,0.27,0.34
h_1,0.52,0.58,0.39,0.39,0.27,0.21,0.68,0.4,0.4,0.35,0.38,0.34,0.26,0.3,0.28,0.4
g_1,0.62,0.43,0.38,0.36,0.32,0.22,0.4,0.64,0.38,0.33,0.39,0.51,0.32,0.42,0.33,0.28
c_0,0.52,0.47,0.47,0.33,0.3,0.23,0.39,0.34,0.59,0.37,0.63,0.36,0.35,0.35,0.28,0.32
d_0,0.36,0.42,0.4,0.71,0.36,0.25,0.35,0.29,0.23,0.52,0.29,0.27,0.26,0.35,0.21,0.31
b_0,0.5,0.51,0.38,0.47,0.3,0.2,0.4,0.34,0.37,0.38,0.55,0.3,0.5,0.43,0.24,0.32
f_0,0.54,0.39,0.31,0.45,0.4,0.27,0.43,0.36,0.42,0.34,0.39,0.55,0.29,0.36,0.53,0.38
a_0,0.51,0.49,0.4,0.45,0.32,0.22,0.41,0.35,0.36,0.33,0.4,0.32,0.47,0.44,0.23,0.34
h_0,0.51,0.57,0.42,0.41,0.3,0.24,0.3,0.39,0.37,0.38,0.33,0.33,0.29,0.28,0.21,0.36
e_0,0.52,0.45,0.32,0.43,0.42,0.29,0.41,0.36,0.4,0.35,0.35,0.33,0.29,0.44,0.49,0.36
g_0,0.71,0.44,0.37,0.43,0.29,0.21,0.39,0.26,0.44,0.33,0.37,0.41,0.24,0.36,0.26,0.27
