,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.13,2.52,6.09,5.93,5.36,5.0,1.73,1.65,1.34,1.3,1.39,1.12,0.8,1.13,2.4,0.88
f_1,4.91,1.13,4.45,5.12,5.22,4.59,1.07,1.52,1.12,0.88,2.1,0.91,0.55,0.89,0.89,0.92
d_1,6.15,6.75,1.12,6.08,6.68,5.73,1.43,0.98,3.43,1.15,1.0,1.11,0.88,0.89,1.21,0.52
c_1,4.99,6.55,7.13,1.13,5.84,5.72,2.07,1.86,0.7,2.78,1.16,1.22,0.81,1.55,1.06,0.83
b_1,6.43,8.45,7.15,3.37,1.13,7.28,1.92,2.57,1.29,1.87,1.38,2.9,1.0,1.44,1.37,0.95
a_1,10.72,12.09,8.05,12.11,5.0,1.14,2.9,2.97,2.43,1.73,2.34,2.43,1.96,6.21,1.62,1.76
h_1,16.51,17.41,16.3,15.97,15.03,19.86,1.75,5.4,3.94,3.12,3.48,3.11,3.53,3.06,3.3,2.29
g_1,19.57,23.55,21.85,24.4,19.19,24.58,4.21,1.79,4.71,3.96,4.27,4.88,2.46,4.21,3.63,4.65
d_0,11.01,22.4,49.94,24.02,21.68,22.34,7.53,8.53,2.23,4.3,4.69,4.39,3.45,4.62,4.62,4.24
c_0,26.05,29.39,11.61,64.56,22.72,24.58,6.84,7.53,8.2,2.39,5.19,6.99,4.09,5.26,5.07,4.14
f_0,24.18,38.67,29.13,27.42,20.88,24.58,7.4,4.34,5.4,4.81,2.23,4.92,3.5,4.46,5.29,2.2
b_0,26.8,26.06,21.55,35.22,49.82,21.6,7.79,6.74,5.4,2.56,5.81,2.38,3.4,6.42,5.69,4.04
h_0,33.63,32.51,36.16,31.62,33.41,26.57,15.45,9.08,8.3,7.3,5.33,6.66,8.42,5.05,6.07,4.41
a_0,35.23,36.74,39.32,47.68,49.82,50.41,10.3,10.89,10.72,7.39,8.07,4.26,5.41,2.65,9.25,6.2
e_0,63.78,76.54,33.83,46.25,36.88,40.12,11.64,9.7,7.26,6.18,3.61,6.74,4.21,6.89,2.59,4.79
g_0,40.21,50.33,43.69,45.57,49.82,41.83,10.8,19.14,9.55,7.87,8.3,6.58,4.25,7.15,7.25,7.98
