,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.83,0.95,1.16,0.93,0.78,0.84,0.8,0.63,0.9,0.7,0.65,0.64,0.62,0.6,0.63
f_1,1.2,1.0,0.89,1.14,0.79,0.93,0.61,0.68,0.62,0.62,0.56,0.61,0.62,0.47,0.51,0.56
d_1,1.05,1.14,1.0,0.84,1.0,0.81,0.75,0.57,0.86,0.65,0.67,0.6,0.56,0.57,0.54,0.48
c_1,0.86,0.88,1.17,1.0,1.49,0.79,0.67,0.55,0.49,0.47,0.52,0.66,0.46,0.59,0.6,0.55
b_1,1.06,1.27,1.0,0.67,1.0,1.31,0.76,0.71,0.74,0.68,0.84,0.62,0.6,0.66,0.61,0.6
a_1,1.27,1.08,1.25,1.25,0.76,1.0,0.91,0.96,0.76,0.78,0.9,0.76,0.73,0.78,0.59,0.7
h_1,1.2,1.63,1.33,1.47,1.34,1.11,1.0,1.01,0.82,0.82,0.93,0.78,0.78,0.82,0.74,0.98
g_1,1.25,1.44,1.77,1.69,1.42,1.12,1.0,1.0,0.92,0.92,0.95,1.22,0.88,0.71,0.94,0.84
c_0,1.6,1.63,1.15,1.93,1.33,1.36,1.15,1.18,1.0,1.13,1.27,0.96,1.14,0.93,0.82,0.9
d_0,1.13,1.53,1.54,2.16,1.5,1.25,1.27,1.13,0.87,1.0,1.0,1.01,0.76,0.82,0.8,0.85
b_0,1.46,1.72,1.48,2.13,1.21,1.04,1.05,1.09,0.78,1.06,1.0,1.01,1.45,1.11,0.85,0.89
f_0,1.49,1.75,1.6,1.56,1.71,1.36,1.29,0.81,1.02,0.93,0.98,1.0,0.82,1.05,1.26,0.71
a_0,1.65,1.62,1.7,2.06,1.64,1.38,1.23,1.2,0.95,1.29,0.75,1.22,1.0,1.05,0.91,1.23
h_0,1.72,2.03,1.79,1.66,1.64,1.21,1.17,1.41,1.06,1.24,0.98,0.9,0.97,1.0,0.94,1.07
e_0,1.77,2.0,1.87,1.69,1.69,1.6,1.39,1.13,1.28,1.17,1.2,0.8,1.09,1.06,1.0,0.88
g_0,1.69,1.8,2.17,1.74,1.66,1.38,1.02,1.15,1.1,1.15,1.08,1.35,0.83,0.93,1.16,1.0
