,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.28,1.08,0.47,0.52,0.46,0.34,1.07,1.09,0.74,0.92,1.07,0.53,1.49,0.86,0.65,1.23
e_1,0.66,2.31,0.75,0.41,0.53,0.4,1.0,2.19,0.87,1.09,1.08,1.08,1.35,0.9,0.5,1.39
c_1,0.54,0.5,2.4,0.48,1.04,0.47,0.99,1.13,0.81,0.36,0.74,1.02,1.42,1.04,1.03,1.28
d_1,0.7,0.48,0.46,2.47,0.46,0.37,1.06,0.73,1.0,2.38,1.48,1.03,1.66,1.11,1.13,1.4
b_1,0.6,0.52,0.6,0.46,2.56,0.9,1.08,1.2,0.81,0.95,0.42,1.22,1.36,0.79,1.03,1.11
a_1,0.61,0.62,0.61,0.67,0.46,3.13,0.98,1.28,1.2,1.07,0.83,1.17,1.61,0.48,0.87,1.07
h_1,1.02,0.74,0.67,0.78,0.47,0.39,3.15,1.2,1.42,1.31,1.24,1.09,1.08,1.13,1.17,2.12
d_0,0.78,0.68,1.24,0.41,0.64,0.51,1.24,2.66,1.1,1.04,1.47,1.03,1.56,1.08,1.13,1.59
g_1,0.62,0.54,0.68,1.22,0.58,0.44,1.06,1.33,3.39,1.45,1.37,2.21,1.48,1.05,1.44,1.02
c_0,0.83,0.66,0.54,0.84,0.47,0.51,1.25,1.79,1.34,2.9,2.77,1.27,2.27,1.41,1.21,1.74
b_0,0.8,0.79,0.77,0.77,0.31,0.31,1.33,1.71,1.38,1.73,3.17,1.46,2.13,2.59,1.05,1.88
f_0,0.46,0.63,0.79,0.87,0.62,0.5,1.26,1.46,1.22,1.36,1.29,3.02,2.15,1.24,2.6,1.83
h_0,1.03,0.74,0.64,0.82,0.6,0.46,0.79,1.23,1.46,1.33,1.17,1.24,1.16,1.13,1.23,2.11
a_0,0.77,0.76,0.8,0.75,0.58,0.25,1.42,1.24,1.2,1.39,1.42,1.42,1.83,3.03,1.57,1.69
e_0,0.76,0.33,0.79,0.96,0.75,0.48,1.35,1.53,1.11,1.33,1.62,1.28,2.03,1.37,3.24,1.84
g_0,0.76,0.55,0.73,1.07,0.61,0.63,1.07,1.11,0.72,1.28,1.25,1.86,1.94,1.33,1.25,1.07
