,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.17,1.46,1.72,1.63,2.03,1.58,0.33,0.56,0.37,0.29,0.29,0.99,0.29,0.14,0.29,0.31
e_1,0.95,0.17,1.97,1.47,1.79,1.58,0.53,0.51,0.39,0.36,0.36,0.42,0.34,0.28,0.24,1.22
d_1,1.52,2.06,0.16,1.77,1.64,1.46,0.5,0.24,1.25,0.34,0.37,0.34,0.33,0.28,0.16,0.39
c_1,1.46,1.83,1.96,0.15,1.66,1.9,0.44,0.43,0.18,1.17,0.32,0.3,0.33,0.22,0.25,0.27
b_1,1.62,1.76,1.82,0.88,0.13,1.76,0.57,0.58,0.38,0.41,1.0,0.33,0.41,0.25,0.26,0.37
a_1,2.12,1.98,1.42,1.95,0.8,0.1,0.56,0.64,0.36,0.42,0.36,0.3,2.62,0.35,0.22,0.38
h_1,1.11,0.83,0.93,1.11,0.92,0.72,0.06,0.3,0.18,0.2,0.17,0.16,0.2,0.48,0.14,0.2
g_1,1.12,0.93,0.87,1.11,1.01,0.84,0.22,0.05,0.2,0.17,0.19,0.17,0.17,0.1,0.39,0.23
d_0,1.14,0.47,2.65,1.11,0.84,0.99,0.22,0.41,0.08,0.21,0.18,0.16,0.18,0.17,0.12,0.15
c_0,1.29,0.81,0.44,3.61,1.17,0.81,0.23,0.32,0.21,0.07,0.25,0.19,0.21,0.14,0.14,0.14
b_0,0.95,0.71,0.7,1.17,2.78,0.99,0.3,0.29,0.21,0.1,0.06,0.17,0.22,0.15,0.18,0.15
f_0,2.15,0.73,0.88,0.86,0.7,1.36,0.25,0.19,0.17,0.16,0.22,0.06,0.2,0.14,0.09,0.28
a_0,1.06,0.75,0.9,0.93,1.31,,0.34,0.32,0.17,0.15,0.09,0.17,0.05,0.11,0.12,0.16
h_0,1.0,0.91,0.71,0.95,1.02,0.95,0.68,0.33,0.19,0.18,0.16,0.18,0.18,0.25,0.16,0.19
g_0,0.89,0.86,0.91,1.02,0.98,0.98,0.2,0.54,0.2,0.2,0.17,0.17,0.19,0.1,0.32,0.15
e_0,1.53,1.68,0.68,0.95,0.85,0.94,0.22,0.24,0.16,0.18,0.16,0.07,0.23,0.14,0.11,0.04
