,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.21,0.84,0.92,0.8,0.65,0.44,0.49,0.36,0.41,0.38,0.31,0.3,0.33,0.25,0.3
e_1,0.82,1.0,1.0,1.13,0.87,0.74,0.52,0.5,0.42,0.6,0.42,0.43,0.36,0.36,0.35,0.32
d_1,1.18,1.02,1.0,0.91,0.84,0.68,0.48,0.37,0.56,0.39,0.45,0.37,0.33,0.33,0.33,0.26
c_1,1.11,0.89,1.09,1.0,1.33,0.74,0.53,0.47,0.4,0.32,0.36,0.42,0.36,0.35,0.33,0.33
b_1,1.24,1.15,1.19,0.77,1.0,1.09,0.61,0.52,0.53,0.45,0.43,0.45,0.38,0.32,0.35,0.33
a_1,1.52,1.35,1.45,1.35,0.92,1.0,0.72,0.58,0.57,0.58,0.64,0.55,0.52,0.53,0.52,0.49
h_1,2.31,1.92,2.07,1.79,1.67,1.34,1.0,0.98,0.75,0.8,0.76,0.79,0.74,0.7,0.59,0.73
g_1,2.17,2.03,2.75,2.09,1.85,1.58,1.01,1.0,1.05,0.92,0.91,1.04,0.74,0.72,0.78,0.76
c_0,2.74,2.38,1.79,2.44,1.9,1.67,1.35,0.96,1.0,1.2,1.37,0.93,0.81,0.91,0.8,0.81
d_0,2.31,1.64,2.74,3.14,2.25,1.7,1.23,1.09,0.8,1.0,0.85,0.94,0.86,0.78,0.79,0.73
b_0,2.62,2.4,2.19,2.87,2.31,1.52,1.36,1.11,0.74,1.14,1.0,0.92,0.98,1.17,0.92,0.81
f_0,3.23,2.36,2.69,2.27,2.26,1.82,1.29,0.95,1.02,1.09,1.08,1.0,0.93,0.9,1.2,0.64
h_0,3.35,2.77,3.08,2.69,2.66,1.91,1.38,1.38,1.22,1.13,1.03,1.08,1.0,0.88,0.85,1.01
a_0,3.06,2.81,2.98,2.99,2.94,1.84,1.45,1.34,1.13,1.25,0.85,1.11,1.15,1.0,0.98,0.91
e_0,4.11,3.1,3.05,2.95,2.8,1.69,1.7,1.19,1.29,1.25,1.13,0.84,1.21,1.08,1.0,0.86
g_0,3.25,3.04,3.87,3.02,3.05,2.06,1.36,1.28,1.31,1.29,1.21,1.49,0.99,1.13,1.16,1.0
