,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,1.05,0.89,1.06,0.97,1.13,1.39,1.07,1.03,1.03,1.05,0.93,1.08,1.38,1.11
f_1,1.28,1.0,1.15,1.12,0.77,0.85,0.79,0.89,0.93,1.2,0.96,0.97,0.88,1.1,0.73,1.01
c_1,0.95,0.87,1.0,1.04,1.44,0.96,0.99,0.75,0.67,1.05,0.75,0.93,1.03,1.0,1.03,1.13
d_1,1.12,0.9,0.96,1.0,1.18,0.89,0.94,0.91,1.36,0.83,1.04,1.01,1.0,0.82,0.95,0.78
b_1,0.94,1.29,0.7,0.84,1.0,1.7,1.02,1.02,1.27,1.13,1.01,0.99,1.03,0.94,0.86,0.92
a_1,1.03,1.18,1.04,1.13,0.59,1.0,1.24,1.05,0.83,0.97,1.2,1.01,1.0,0.84,1.25,1.02
h_1,0.87,1.32,1.0,1.05,0.96,0.79,1.0,0.94,0.89,1.13,0.97,0.96,1.06,0.87,1.04,1.2
d_0,0.72,1.18,1.34,0.98,0.98,0.93,1.05,1.0,0.88,0.85,1.04,1.04,1.23,0.93,0.97,1.3
c_0,1.0,1.12,1.65,0.71,0.76,1.2,1.12,1.13,1.0,1.02,1.28,1.05,1.22,1.31,1.08,1.12
g_1,0.95,0.87,0.97,1.23,0.9,1.07,0.88,1.19,1.0,1.0,1.06,1.25,0.96,0.86,0.93,1.06
b_0,0.93,1.1,1.35,0.94,0.92,0.82,0.97,1.04,0.75,0.93,1.0,0.88,0.97,1.36,1.07,0.96
f_0,0.92,1.0,1.07,1.0,1.12,0.98,1.05,0.95,0.94,0.78,1.08,1.0,1.18,0.99,1.36,0.69
h_0,0.97,1.13,0.98,1.02,0.95,0.9,0.92,0.85,0.79,1.02,1.01,0.89,1.0,0.81,0.91,1.18
a_0,0.87,0.87,1.02,1.22,1.07,,1.26,1.01,0.74,1.11,0.73,1.09,1.22,1.0,1.0,0.99
e_0,0.67,1.42,0.98,1.05,1.14,0.82,0.98,0.98,0.91,1.05,0.96,0.75,1.13,1.03,1.0,0.98
g_0,0.88,0.97,0.89,1.25,1.07,0.91,0.88,0.74,0.85,1.03,1.06,1.36,0.8,1.06,1.08,1.0
