,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,23.74,0.41,0.22,0.38,0.32,0.36,0.7,0.72,1.69,0.6,0.97,0.87,0.96,0.68,0.23,0.87
f_1,0.66,25.22,0.33,0.28,0.33,0.3,0.75,0.65,0.89,0.95,0.81,0.12,0.78,0.9,0.51,0.67
d_1,0.27,0.39,26.87,0.28,0.42,0.37,0.75,0.69,0.14,1.65,0.97,0.77,0.99,0.79,0.93,0.87
c_1,0.28,0.3,0.43,26.81,0.72,0.28,0.83,0.66,0.67,0.1,0.61,0.9,0.75,0.75,0.82,0.9
b_1,0.29,0.31,0.41,0.29,30.9,0.81,0.65,0.89,0.77,0.86,0.1,0.81,0.73,0.6,0.62,0.75
a_1,0.36,0.33,0.34,0.5,0.26,45.21,0.87,0.65,0.84,0.55,0.58,0.87,0.99,0.14,0.64,0.75
h_1,0.63,0.86,0.59,0.63,0.74,0.42,10.64,1.58,1.12,1.31,1.51,0.99,0.46,1.54,1.59,1.73
g_1,0.45,0.56,1.17,0.72,0.55,0.5,0.86,12.04,1.07,1.54,1.13,3.03,1.4,1.36,1.83,0.72
d_0,0.76,0.64,0.17,1.72,0.35,0.62,1.62,1.18,4.91,1.33,1.74,1.64,1.71,1.58,1.9,1.77
c_0,0.71,0.74,0.82,0.25,0.48,0.58,1.53,1.23,1.54,6.0,2.93,1.97,2.02,1.89,2.2,2.46
b_0,0.76,0.72,0.86,0.72,0.09,0.4,1.38,1.48,1.69,1.42,6.85,1.68,1.81,3.59,1.71,2.08
f_0,0.7,0.23,0.85,0.71,0.63,0.63,0.99,1.58,1.21,1.45,1.75,6.48,2.13,1.51,5.09,1.88
h_0,0.51,1.31,0.47,0.67,0.51,0.77,0.37,1.75,1.09,1.21,1.6,1.81,0.78,1.8,1.53,2.04
a_0,0.71,0.68,0.74,0.81,0.56,0.2,1.3,1.39,1.51,1.69,1.72,1.73,2.0,8.77,1.6,2.1
e_0,0.25,0.74,0.73,0.78,0.61,0.68,1.84,1.04,1.82,2.03,2.85,1.27,1.7,1.87,10.32,2.0
g_0,0.52,0.56,1.16,0.59,0.55,0.75,1.26,0.64,1.09,1.41,1.84,2.6,1.81,1.88,1.63,0.56
