,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,9.65,0.77,0.58,1.0,0.67,0.65,0.9,1.04,0.9,2.14,0.91,1.01,1.03,1.07,0.72,0.94
f_1,1.96,11.01,0.6,0.74,0.57,0.63,0.87,0.74,0.8,1.07,0.53,0.93,0.94,0.88,0.65,0.76
d_1,0.6,0.71,13.31,0.49,0.63,0.78,1.04,0.98,2.69,0.53,1.15,1.41,1.0,0.92,1.1,1.23
c_1,0.51,0.58,0.72,12.24,1.97,0.71,0.97,0.86,0.43,0.78,0.98,0.57,0.93,0.87,1.03,0.82
b_1,0.57,0.69,0.71,0.72,13.18,1.71,0.85,0.95,0.82,0.73,1.04,0.55,0.63,0.98,0.9,0.89
a_1,0.78,0.72,0.8,0.69,0.59,17.72,1.14,1.04,0.95,1.02,1.03,1.08,0.7,1.35,1.19,1.07
h_1,0.67,1.28,0.8,0.8,0.74,0.72,2.97,1.44,0.87,0.84,0.89,1.2,0.98,0.77,1.06,1.38
g_1,0.66,0.69,1.61,0.76,0.81,0.64,0.89,3.29,0.99,0.75,1.69,0.86,0.93,1.14,1.07,0.85
c_0,0.76,0.92,1.04,0.62,0.58,0.77,1.16,1.09,2.15,0.97,1.19,3.39,1.47,1.26,1.39,1.37
d_0,0.65,0.9,0.55,2.22,0.92,0.58,0.95,0.97,0.65,1.89,0.94,0.91,1.1,1.2,1.21,0.97
f_0,0.56,0.61,1.0,0.93,0.7,0.78,1.02,0.96,1.16,1.3,2.91,1.23,1.3,1.07,3.49,1.47
b_0,0.73,1.13,0.95,0.95,0.55,0.52,1.11,1.05,1.06,1.18,1.26,2.63,3.27,1.21,1.13,1.5
a_0,0.77,0.98,0.9,0.83,0.69,0.55,1.25,1.17,1.07,0.98,1.28,1.1,3.36,1.15,0.94,1.28
h_0,0.79,1.5,0.93,0.71,0.68,0.75,0.67,1.38,0.99,0.89,0.98,0.89,1.03,0.86,0.87,1.48
e_0,0.62,1.08,0.89,0.71,0.91,0.6,1.22,0.94,1.13,1.04,1.36,1.4,1.41,1.07,3.03,1.18
g_0,0.67,0.64,1.91,0.76,0.67,0.62,0.91,0.73,1.08,0.83,2.07,1.19,1.22,1.0,1.38,0.9
