,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,118.94,77.11,73.67,84.02,138.17,290.89,9483.5,14687.14,28150.5,32009.77,25373.34,47332.61,91810.7,86114.11,102520.85,202678.15
f_1,66.22,121.78,108.64,95.81,125.44,312.06,9279.32,13593.5,15408.66,24490.27,29760.54,30405.46,73119.11,79604.27,76806.75,175904.22
e_1,60.42,66.97,122.72,125.26,140.23,279.07,9784.34,15128.1,17075.39,24794.01,46658.5,47427.13,93588.97,80196.07,88547.32,203904.99
c_1,67.52,63.1,54.04,157.82,210.57,263.92,8546.45,13719.56,11254.78,17348.59,21777.81,43078.21,73813.43,73006.41,84484.18,168171.55
b_1,57.9,63.31,56.45,65.65,208.53,421.9,7923.87,11145.51,14176.17,16992.07,17423.19,34809.52,72843.11,61117.49,78959.17,163025.9
a_1,44.86,46.27,47.69,67.04,63.94,402.8,6637.0,10035.99,11545.47,19645.78,20298.58,25637.32,64428.47,54821.43,73036.04,126110.16
h_1,19.16,22.67,16.65,24.1,34.04,73.88,3438.85,4630.94,4195.82,6230.43,6126.31,11209.46,17049.88,21162.26,24315.2,64019.89
g_1,20.82,16.2,13.22,20.45,28.29,61.69,1886.04,4978.93,4209.39,5297.95,5349.68,13538.45,19550.91,17455.17,24593.89,37560.49
c_0,14.0,16.77,15.05,21.64,24.09,64.65,2146.98,3126.17,4980.31,9373.67,6639.34,11008.98,21707.16,23950.48,23408.49,48739.05
b_0,12.95,15.08,14.26,22.8,22.76,43.32,2119.73,3044.16,2883.92,6445.02,6186.6,9259.94,19099.55,25012.04,20930.18,40683.95
d_0,8.71,11.83,11.66,31.64,30.19,46.8,2031.06,3015.09,2632.12,4225.94,6898.58,9227.38,15841.01,14740.59,20490.1,37555.79
f_0,12.0,11.32,9.51,17.99,22.9,46.95,1561.78,2353.23,2856.97,4658.34,4542.4,9828.04,15770.08,13326.36,30078.02,30930.35
h_0,10.75,11.61,8.89,14.41,17.31,35.12,1329.48,2591.65,2258.23,3561.69,3974.86,6430.76,10786.3,11097.02,15383.0,34799.95
a_0,10.23,9.78,9.21,14.14,18.37,30.92,1356.05,2023.93,2104.43,3084.63,3841.58,6856.45,13432.54,16200.65,12674.51,32437.05
e_0,9.01,10.39,6.38,14.56,19.15,32.95,1160.65,1945.73,2108.44,3477.1,2914.17,4565.85,12450.69,12064.06,19107.01,29849.68
g_0,9.57,7.21,6.68,11.23,14.36,30.49,930.37,1353.47,1756.87,2681.5,2628.77,6446.93,8120.73,7445.59,10421.19,18143.52
