,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.49,1.06,0.78,0.6,0.56,0.47,0.73,0.7,0.59,0.73,0.67,0.39,0.67,0.47,0.65,0.57
e_1,0.74,1.5,0.72,0.55,0.63,0.53,0.81,1.45,0.87,0.78,0.89,0.87,0.91,0.53,0.88,0.78
c_1,0.66,0.69,1.54,0.74,1.08,0.55,0.75,0.64,0.71,0.34,0.56,0.65,0.71,0.55,0.55,0.78
d_1,0.81,0.81,0.56,1.59,0.59,0.46,0.92,0.51,0.65,1.34,0.88,0.72,0.96,0.8,0.69,0.78
b_1,0.72,0.7,0.58,0.73,1.6,1.13,0.7,0.9,0.63,0.81,0.42,0.87,0.92,0.76,0.55,0.76
a_1,0.92,0.75,0.76,0.85,0.49,1.74,0.88,1.0,0.76,0.77,0.93,0.82,1.0,0.86,0.53,0.85
h_1,1.21,0.86,0.89,0.82,0.89,0.64,1.73,0.97,1.17,1.06,0.9,0.91,0.74,1.0,0.73,1.15
d_0,1.09,0.7,1.66,0.65,0.9,0.59,1.19,1.58,1.12,0.88,1.0,0.88,1.21,1.09,0.97,1.17
g_1,1.0,0.72,0.89,1.33,0.91,0.79,1.0,1.02,1.84,1.16,1.1,1.26,1.0,1.05,0.81,0.86
c_0,1.18,1.01,0.96,0.88,0.62,0.73,1.07,1.21,1.01,1.64,1.97,1.27,1.15,0.94,1.06,1.01
b_0,1.22,0.99,1.1,0.92,0.87,0.61,1.3,1.15,1.08,0.88,1.69,1.1,1.08,0.95,1.58,1.16
f_0,0.78,0.83,1.14,1.0,0.95,0.86,1.24,1.33,1.04,0.99,1.07,1.73,1.24,1.58,0.84,1.13
h_0,1.28,1.0,1.07,0.9,0.91,0.82,0.85,1.15,1.33,1.26,1.1,0.99,0.99,1.14,0.85,1.64
e_0,1.31,0.52,1.43,0.87,1.03,0.9,1.28,1.04,1.04,1.25,1.11,1.12,1.28,1.77,0.79,1.25
a_0,1.1,0.96,1.29,0.9,1.0,0.58,1.29,1.27,1.22,1.18,0.95,1.14,1.37,1.22,1.77,1.44
g_0,1.01,0.92,1.14,1.41,1.03,0.74,1.18,1.12,0.86,1.17,1.02,1.61,1.0,1.1,0.83,0.91
