,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.43,1.32,1.33,1.91,1.52,1.36,2.89,2.96,2.88,4.98,3.62,3.47,4.14,2.92,4.75,3.59
f_1,2.13,2.44,1.36,1.44,1.31,1.35,2.43,2.79,3.15,3.32,2.53,3.19,3.54,2.56,3.58,3.1
d_1,1.5,1.61,2.55,1.39,1.35,1.39,2.98,2.5,4.85,2.56,3.38,3.63,4.31,3.5,3.72,3.24
c_1,1.24,1.57,1.44,2.62,2.48,1.53,2.85,2.73,2.14,2.67,2.95,2.41,4.07,2.95,3.72,3.29
b_1,1.39,1.45,1.55,1.22,2.84,2.52,3.19,3.01,3.3,2.97,3.13,2.26,3.89,3.97,3.92,2.92
a_1,1.52,1.62,1.75,1.45,1.25,3.2,3.05,3.13,3.29,3.13,3.31,3.32,4.46,3.11,4.01,2.56
h_1,1.53,1.96,1.55,1.55,1.31,1.49,4.22,4.0,3.41,3.33,3.05,3.25,3.67,3.72,4.6,3.09
g_1,1.53,1.47,2.05,1.53,1.23,1.54,2.75,4.66,3.5,3.18,4.48,3.39,3.22,3.64,3.89,3.6
c_0,1.63,1.61,1.6,1.43,1.26,1.63,2.91,3.14,4.38,3.91,3.72,5.72,4.08,3.78,3.92,4.62
d_0,1.37,1.66,1.21,2.57,1.79,1.52,2.8,2.91,2.32,4.25,3.48,3.14,4.13,3.62,4.43,3.42
f_0,1.33,1.45,1.54,1.86,1.74,1.5,3.21,2.61,3.34,3.61,4.61,3.74,4.25,6.14,4.12,3.43
b_0,1.5,1.57,1.69,1.85,1.47,1.3,2.99,3.29,2.99,3.71,3.61,4.74,4.57,4.04,3.95,6.81
h_0,1.48,1.83,1.67,1.59,1.49,1.48,2.38,3.72,3.25,3.47,3.22,3.36,3.61,3.24,5.44,3.61
e_0,1.16,2.0,1.55,1.76,1.48,1.66,3.23,3.35,3.13,2.81,2.93,3.42,4.47,5.31,3.82,3.29
g_0,1.33,1.48,2.09,1.63,1.59,1.56,3.02,2.47,3.52,3.03,4.64,3.39,3.75,4.42,4.03,3.6
a_0,1.43,1.68,1.84,1.66,1.7,1.25,3.27,2.97,2.59,3.56,3.64,2.77,4.13,3.76,4.23,5.46
