,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.04,1.12,0.86,0.85,0.78,0.72,0.54,0.82,0.63,0.72,0.62,0.56,0.59,0.57,0.48
e_1,0.95,1.0,0.76,1.16,1.02,0.86,0.75,0.72,0.65,0.86,0.62,0.82,0.64,0.62,0.61,0.63
f_1,0.9,1.33,1.0,1.01,0.88,0.71,0.56,0.79,0.62,0.64,0.63,0.55,0.51,0.57,0.47,0.5
c_1,1.16,0.89,0.98,1.0,1.33,0.91,0.74,0.64,0.6,0.48,0.57,0.7,0.57,0.53,0.52,0.64
b_1,1.17,0.94,1.18,0.75,1.0,1.38,0.84,0.73,0.72,0.66,0.72,0.66,0.61,0.55,0.72,0.7
a_1,1.28,1.14,1.4,1.09,0.72,1.0,0.92,0.84,0.77,0.88,0.84,0.69,0.92,0.71,0.76,0.75
h_1,1.34,1.35,1.79,1.39,1.22,1.09,1.0,1.06,0.93,0.94,0.88,0.76,0.88,0.69,0.79,0.92
g_1,1.82,1.32,1.3,1.48,1.4,1.21,0.92,1.0,0.97,0.82,0.93,1.04,0.77,0.89,0.99,0.78
c_0,1.23,1.59,1.51,1.63,1.35,1.3,1.09,1.06,1.0,1.21,1.26,0.93,0.94,0.95,0.87,0.83
d_0,1.56,1.18,1.55,2.12,1.55,1.12,1.11,1.17,0.81,1.0,0.86,1.02,0.98,0.87,0.96,0.98
b_0,1.44,1.56,1.53,1.76,1.32,1.21,1.14,1.14,0.79,1.1,1.0,0.9,1.09,1.34,0.89,0.95
f_0,1.54,1.22,1.84,1.49,1.51,1.51,1.27,0.94,1.03,0.99,1.06,1.0,1.09,0.94,1.42,0.8
h_0,1.77,1.56,1.96,1.73,1.64,1.11,1.13,1.28,1.1,0.98,0.93,0.91,1.0,1.0,0.81,1.12
a_0,1.69,1.68,1.72,1.92,1.75,1.48,1.39,1.15,1.04,1.14,0.8,1.09,0.99,1.0,0.91,0.93
e_0,1.74,1.69,2.05,1.91,1.49,1.27,1.24,1.05,1.13,1.02,1.11,0.74,1.24,1.1,1.0,1.0
g_0,2.02,1.6,1.97,1.62,1.53,1.37,1.1,1.3,1.19,1.05,1.03,1.34,0.9,1.11,0.99,1.0
