,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.91,0.58,0.27,0.27,0.24,0.15,0.26,0.18,0.28,0.26,0.27,0.13,0.28,0.17,0.11,0.19
e_1,0.37,0.91,0.27,0.37,0.27,0.16,0.3,0.19,0.5,0.29,0.25,0.22,0.28,0.18,0.12,0.23
d_1,0.37,0.3,0.91,0.24,0.26,0.16,0.32,0.24,0.19,0.51,0.34,0.22,0.3,0.21,0.2,0.25
c_1,0.33,0.29,0.28,0.9,0.48,0.18,0.27,0.25,0.29,0.14,0.18,0.2,0.27,0.16,0.16,0.18
b_1,0.35,0.3,0.31,0.32,0.9,0.36,0.24,0.23,0.27,0.23,0.15,0.25,0.3,0.14,0.17,0.17
a_1,0.38,0.32,0.33,0.35,0.24,0.88,0.29,0.23,0.28,0.28,0.24,0.25,0.3,0.15,0.16,0.21
h_1,0.5,0.38,0.39,0.3,0.28,0.16,0.61,0.33,0.28,0.29,0.3,0.24,0.21,0.16,0.19,0.3
g_1,0.29,0.28,0.57,0.33,0.31,0.17,0.32,0.59,0.23,0.3,0.26,0.37,0.33,0.22,0.21,0.2
d_0,0.4,0.36,0.23,0.59,0.31,0.2,0.34,0.24,0.47,0.2,0.23,0.24,0.28,0.18,0.17,0.22
c_0,0.42,0.41,0.43,0.25,0.2,0.18,0.33,0.27,0.29,0.49,0.57,0.23,0.37,0.27,0.18,0.28
b_0,0.4,0.41,0.38,0.35,0.18,0.16,0.34,0.26,0.33,0.35,0.52,0.25,0.33,0.45,0.18,0.29
f_0,0.27,0.27,0.4,0.38,0.32,0.25,0.35,0.3,0.29,0.27,0.3,0.49,0.34,0.24,0.43,0.3
h_0,0.49,0.37,0.37,0.31,0.26,0.19,0.27,0.33,0.27,0.28,0.31,0.26,0.24,0.19,0.2,0.34
a_0,0.42,0.36,0.34,0.35,0.32,0.17,0.36,0.26,0.35,0.28,0.33,0.26,0.36,0.43,0.22,0.27
e_0,0.44,0.27,0.36,0.33,0.34,0.23,0.35,0.29,0.26,0.27,0.33,0.28,0.41,0.21,0.44,0.28
g_0,0.33,0.36,0.5,0.33,0.25,0.2,0.33,0.24,0.25,0.29,0.36,0.41,0.31,0.19,0.22,0.19
