,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.77,1.16,0.9,0.94,0.71,0.5,0.56,0.43,0.37,0.43,0.44,0.36,0.35,0.32,0.34
f_1,1.3,1.0,0.95,0.92,0.79,0.59,0.38,0.46,0.47,0.41,0.42,0.33,0.28,0.32,0.26,0.32
c_1,0.84,1.05,1.0,1.12,1.28,0.71,0.45,0.32,0.44,0.33,0.31,0.37,0.37,0.33,0.32,0.34
d_1,1.12,1.07,0.89,1.0,0.92,0.76,0.5,0.51,0.38,0.56,0.45,0.41,0.34,0.37,0.35,0.27
b_1,1.08,1.24,0.79,1.09,1.0,1.31,0.56,0.44,0.52,0.57,0.45,0.42,0.48,0.33,0.41,0.38
a_1,1.41,1.69,1.42,1.31,0.79,1.0,0.73,0.6,0.59,0.54,0.72,0.52,0.54,0.52,0.51,0.44
h_1,2.09,2.54,2.17,2.04,1.79,1.33,1.0,0.79,0.95,0.73,0.83,0.7,0.76,0.69,0.68,0.82
d_0,1.75,2.15,2.99,1.97,2.26,1.8,1.23,1.0,1.08,0.79,0.89,0.89,0.87,0.66,0.85,0.81
g_1,2.34,2.14,2.24,2.79,1.99,1.57,1.03,0.91,1.0,0.92,0.96,0.99,0.67,0.75,0.79,0.76
c_0,2.69,2.39,2.89,1.81,1.77,1.68,1.34,1.32,1.06,1.0,1.26,0.88,0.84,0.87,0.78,0.79
b_0,2.29,2.33,3.13,2.26,2.37,1.41,1.18,1.14,1.04,0.76,1.0,0.87,0.85,1.22,0.88,0.82
f_0,2.34,2.94,2.68,2.41,2.39,1.95,1.48,1.13,0.98,1.16,1.1,1.0,0.91,0.95,1.22,0.68
h_0,2.8,3.47,2.81,2.9,2.1,1.83,1.32,1.16,1.5,1.19,1.15,1.1,1.0,0.94,0.88,0.95
a_0,2.95,2.92,3.1,2.71,2.99,1.87,1.45,1.47,1.29,1.13,0.83,1.07,0.97,1.0,1.02,0.96
e_0,3.04,4.03,3.21,2.81,2.52,2.0,1.49,1.23,1.24,1.21,1.1,0.83,1.15,0.9,1.0,0.94
g_0,3.03,3.16,2.82,3.71,2.63,2.24,1.21,1.26,1.32,1.3,1.23,1.42,1.04,1.03,1.08,1.0
