,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.43,4.82,3.31,3.57,3.18,2.93,1.56,2.09,1.49,1.63,1.64,,1.16,1.75,1.29,1.19
e_1,2.06,0.42,4.61,3.34,3.66,4.2,1.68,1.63,1.89,2.05,1.92,1.81,1.33,1.63,1.36,
d_1,3.94,3.86,0.4,3.57,3.96,3.2,1.91,1.47,,1.76,1.62,1.5,1.42,1.74,0.79,1.62
c_1,3.89,3.42,4.25,0.39,3.74,4.87,1.89,1.7,0.94,,1.68,1.73,1.31,1.81,1.45,
b_1,4.2,2.85,3.96,2.47,0.36,3.07,2.84,2.02,1.28,1.88,,1.58,1.28,1.32,1.72,2.04
a_1,4.72,3.11,3.46,2.96,3.07,0.31,2.17,1.77,1.59,1.68,1.68,1.9,1.59,,1.3,
h_1,1.91,2.48,1.75,1.68,1.34,1.83,0.26,0.97,0.86,0.7,0.7,0.65,,0.81,0.92,0.89
g_1,1.63,2.03,1.85,1.9,2.02,2.01,0.78,0.24,0.97,0.78,0.58,0.92,0.64,,,
d_0,1.6,1.01,,1.94,2.1,2.15,0.79,0.82,0.29,0.8,0.79,0.64,0.55,,0.47,0.89
c_0,1.78,1.38,1.01,,1.48,1.68,0.81,1.2,0.68,0.28,0.82,0.63,0.57,0.87,0.65,0.72
b_0,1.56,1.72,1.57,2.01,,1.45,0.9,1.07,0.62,0.46,0.27,0.86,0.56,0.79,0.58,0.73
f_0,,1.47,1.41,1.43,2.1,1.54,1.23,0.6,0.69,0.73,0.68,0.25,0.56,0.67,0.51,
h_0,1.26,1.5,1.08,1.35,1.11,0.94,,0.72,0.66,0.53,0.66,0.65,,0.62,0.52,0.47
a_0,1.39,1.71,1.97,1.36,2.19,,0.81,,,0.69,0.54,0.71,0.52,0.22,0.71,0.66
g_0,1.62,1.47,1.75,1.33,1.14,1.62,0.45,,0.78,0.57,0.55,0.58,0.4,0.45,,0.5
e_0,2.14,,1.62,,1.32,,0.71,,0.59,0.56,0.65,,0.67,0.58,0.66,0.21
