,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.18,0.68,0.6,0.62,0.65,0.56,0.13,0.2,0.13,0.12,0.12,0.27,0.07,0.1,0.11,0.1
e_1,0.36,0.17,0.83,0.68,0.68,0.75,0.19,0.21,0.17,0.16,0.17,0.19,0.1,0.17,0.12,0.26
d_1,0.65,0.8,0.15,0.78,0.75,0.55,0.18,0.12,0.26,0.11,0.12,0.11,0.09,0.12,0.06,0.12
c_1,0.62,0.57,0.79,0.15,0.6,0.69,0.19,0.18,0.07,0.22,0.13,0.13,0.1,0.14,0.1,0.12
b_1,0.73,0.57,0.71,0.35,0.13,0.64,0.24,0.22,0.16,0.21,0.33,0.14,0.1,0.14,0.11,0.15
a_1,0.82,0.63,0.69,0.69,0.33,0.09,0.25,0.21,0.15,0.17,0.17,0.15,0.11,0.29,0.1,0.14
h_1,0.57,0.53,0.44,0.51,0.5,0.51,0.06,0.15,0.13,0.1,0.1,0.1,0.13,0.09,0.1,0.11
g_1,0.5,0.58,0.48,0.59,0.56,0.45,0.11,0.05,0.14,0.1,0.1,0.11,0.06,0.1,0.11,0.11
d_0,0.58,0.28,0.95,0.6,0.53,0.55,0.15,0.18,0.06,0.11,0.11,0.1,0.09,0.13,0.09,0.12
c_0,0.68,0.55,0.28,0.9,0.61,0.43,0.13,0.15,0.15,0.06,0.11,0.09,0.09,0.12,0.08,0.11
b_0,0.62,0.47,0.38,0.87,1.07,0.48,0.14,0.16,0.1,0.05,0.05,0.09,0.07,0.1,0.07,0.09
f_0,0.82,0.47,0.5,0.49,0.56,0.5,0.16,0.09,0.12,0.12,0.11,0.05,0.08,0.09,0.04,0.1
h_0,0.53,0.63,0.47,0.53,0.4,0.41,0.26,0.16,0.12,0.09,0.11,0.1,0.1,0.09,0.08,0.08
a_0,0.56,0.58,0.48,0.49,0.65,0.82,0.15,0.14,0.13,0.08,0.06,0.09,0.07,0.04,0.07,0.08
g_0,0.58,0.49,0.49,0.57,0.5,0.49,0.1,0.22,0.12,0.09,0.1,0.09,0.05,0.1,0.09,0.08
e_0,0.79,0.74,0.44,0.53,0.52,0.6,0.13,0.16,0.09,0.08,0.09,0.05,0.08,0.08,0.06,0.03
