,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,106.12,9.46,11.72,16.43,29.23,113.69,1422.49,3038.15,4045.07,6589.32,5223.07,6021.79,20302.9,19886.21,,44813.19
f_1,19.79,110.79,14.43,18.03,22.38,79.15,1618.05,2732.57,3853.74,4087.64,5714.28,,17817.41,19563.49,20733.15,25704.27
d_1,11.43,12.12,111.74,17.9,27.16,103.98,1871.24,2924.75,5271.83,,5952.13,8497.69,14523.23,14707.2,23900.06,33021.21
c_1,12.87,11.22,8.19,144.08,41.77,95.97,1237.14,3305.66,,3425.0,4510.04,5934.99,17204.64,23285.27,19004.62,31392.57
b_1,8.17,13.84,9.87,13.3,224.75,167.99,1016.16,1818.2,2805.87,3041.61,,3497.32,14023.79,16372.62,15225.5,21658.02
a_1,5.64,5.24,5.56,7.67,11.51,671.23,986.66,1322.93,1491.15,2727.58,,3756.88,,,,15262.84
h_1,5.81,7.72,6.49,8.63,16.33,42.82,2700.4,1617.54,1862.09,1152.08,2452.77,2887.97,,10551.83,11819.3,21987.06
g_1,3.74,4.58,6.82,5.79,13.13,42.66,570.78,4567.75,1657.1,1133.82,1368.88,4216.79,8737.68,8211.69,9110.09,
c_0,5.33,5.28,5.15,,10.97,61.6,827.27,1463.15,4005.14,1793.76,2884.46,2661.16,9046.85,9921.23,10474.91,13149.49
d_0,4.0,4.96,,13.33,12.35,33.05,888.86,1274.39,1370.04,4190.81,2020.63,3453.28,7356.43,8311.52,12076.32,15842.94
b_0,4.87,4.47,3.98,5.35,,,525.82,1151.51,1279.09,1797.11,5215.92,3034.07,10582.73,17288.17,10005.35,13468.2
f_0,3.62,,4.22,6.24,10.02,30.31,648.29,753.71,1575.83,1609.06,1700.65,6967.05,9062.46,8954.77,14645.24,6215.4
h_0,3.83,5.86,4.84,4.86,8.64,,,1082.77,1163.89,1367.85,1246.27,2216.03,,7209.18,12383.15,12764.78
a_0,3.74,2.94,4.72,3.94,8.82,,300.28,657.94,810.26,705.34,773.13,1541.7,6214.98,17241.18,,8624.45
e_0,,2.51,2.93,3.5,7.13,,347.97,820.55,897.58,1115.1,1237.37,1559.22,3484.13,,19224.36,
g_0,2.2,3.89,4.29,4.36,8.41,30.08,417.83,,986.07,1046.96,1395.35,3618.78,5115.3,7271.37,,
