,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,4.25,3.13,3.65,3.99,3.76,1.3,1.55,1.82,1.6,2.25,,0.93,1.89,1.56,1.82
e_1,2.2,0.42,3.8,4.84,3.95,3.22,2.1,1.46,2.86,1.6,1.57,1.73,1.17,1.71,1.64,
d_1,4.27,4.04,0.4,3.65,3.52,4.11,1.91,,1.15,1.72,1.71,1.38,1.44,1.9,0.9,1.39
c_1,3.39,3.27,3.88,0.39,3.43,3.96,1.82,0.99,2.57,,1.58,1.93,1.47,1.85,0.95,
b_1,3.84,3.81,3.41,2.37,0.36,,2.0,2.14,1.88,1.82,,1.58,1.19,,1.24,1.56
a_1,3.44,4.07,3.08,3.1,,0.3,1.86,2.19,2.26,1.87,1.66,1.65,1.7,,1.3,
h_1,2.24,1.71,1.91,1.99,1.71,1.86,0.28,0.7,0.95,0.82,0.66,0.73,,0.9,0.92,0.61
d_0,1.51,1.11,,1.95,1.53,1.33,0.81,0.29,1.06,0.82,0.59,0.64,0.81,0.61,0.68,0.64
g_1,1.88,1.87,2.58,1.44,1.67,1.6,0.8,0.8,0.24,0.87,0.92,1.06,0.56,,,
c_0,2.0,1.56,1.0,,1.82,1.38,0.87,0.68,0.95,0.29,0.93,0.57,0.59,0.76,0.59,0.92
b_0,1.55,1.96,1.65,2.05,,1.56,1.03,0.87,0.69,0.41,0.27,0.63,0.55,0.9,0.67,0.55
f_0,,1.42,2.03,1.33,1.51,1.78,1.1,0.87,0.46,0.72,0.68,0.27,0.85,0.63,0.38,0.81
h_0,1.6,1.56,1.08,1.06,1.56,1.13,,0.5,0.71,0.59,0.63,0.45,,0.5,0.5,0.58
a_0,1.5,1.8,1.79,1.57,,,0.82,0.89,,0.61,0.4,0.66,0.7,0.22,0.75,
g_0,1.3,1.19,1.63,1.51,1.2,1.63,0.54,0.57,,0.61,0.58,0.89,0.33,0.51,,
e_0,1.38,,1.78,,1.56,,0.78,0.98,,0.74,0.7,0.48,0.65,,,0.21
