,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,2.76,0.73,0.7,0.59,0.5,0.69,0.76,0.75,1.55,0.92,0.87,0.8,0.94,0.86,0.44,1.08
f_1,1.12,2.96,0.68,0.53,0.54,0.45,0.65,0.81,0.91,0.95,0.89,0.29,0.8,1.01,0.79,0.77
c_1,0.5,0.59,3.1,0.57,1.11,0.52,0.87,0.87,0.92,0.71,0.27,1.18,1.0,0.95,0.89,1.02
d_1,0.5,0.59,0.52,3.21,0.62,0.58,1.09,1.11,0.5,1.25,1.78,1.09,0.9,0.81,1.12,0.81
b_1,0.58,0.64,0.58,0.58,3.45,1.22,0.94,0.7,0.76,0.31,0.93,0.83,0.73,1.09,0.85,1.01
a_1,0.6,0.67,0.61,0.7,0.56,4.43,1.22,0.95,0.87,0.87,0.83,0.86,0.54,1.06,0.89,0.91
h_1,0.67,1.05,0.59,0.8,0.82,0.5,3.15,1.46,1.08,1.11,1.11,0.98,1.01,0.66,1.44,1.64
g_1,0.68,0.67,0.7,1.26,0.63,0.52,1.05,3.73,0.88,1.1,0.97,1.87,0.78,1.05,1.33,0.68
d_0,0.7,0.79,1.5,0.33,0.83,0.63,0.99,0.94,2.32,1.23,0.8,1.16,1.16,1.29,1.26,1.04
b_0,0.81,0.74,0.79,0.93,0.28,0.62,1.15,1.15,0.97,2.58,1.38,1.45,2.68,1.36,1.36,1.26
c_0,0.84,0.79,0.46,0.9,0.47,0.79,1.11,1.1,1.21,2.39,2.43,1.28,1.41,1.29,1.46,1.19
f_0,0.62,0.34,0.89,0.83,0.89,0.62,1.14,1.23,1.15,1.29,1.06,3.21,1.47,1.34,2.93,1.16
a_0,0.7,0.8,0.76,0.92,0.86,0.29,0.96,0.99,1.16,1.34,1.13,1.13,3.33,1.66,1.34,1.42
h_0,0.78,1.13,0.81,0.87,0.63,0.62,0.61,1.55,0.93,1.11,1.03,1.16,1.18,0.6,0.93,1.37
e_0,0.51,0.94,0.84,0.77,0.66,0.56,1.08,1.05,1.08,1.36,1.2,1.53,1.63,1.47,3.37,1.5
g_0,0.82,0.61,0.71,1.3,0.67,0.68,0.92,0.55,0.98,1.53,1.17,2.01,1.34,1.12,1.23,0.95
