,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.1,2.4,3.0,2.63,3.01,2.56,0.62,0.55,0.81,0.53,0.51,0.75,0.34,0.52,0.5,0.5
e_1,1.76,1.1,2.91,2.83,3.18,3.02,0.87,0.73,1.1,0.61,0.58,0.88,0.46,1.08,0.6,0.52
c_1,2.86,2.74,1.11,4.24,3.15,2.96,0.96,0.4,0.94,0.87,0.72,0.62,0.42,0.54,0.57,0.45
d_1,4.06,4.38,3.52,1.1,3.41,3.08,1.03,1.34,0.63,0.7,0.77,0.72,0.53,0.75,0.89,0.34
b_1,4.42,4.26,2.23,4.41,1.12,4.21,1.14,0.86,1.09,1.24,1.18,0.83,0.54,0.66,0.76,0.51
a_1,5.91,5.94,4.86,6.5,2.56,1.13,1.81,1.52,1.68,1.26,1.66,0.99,0.84,0.99,1.67,0.88
h_1,11.64,10.65,11.59,9.64,12.53,9.15,1.61,2.25,3.0,2.11,2.11,2.26,2.11,1.83,2.17,1.44
d_0,12.99,7.77,15.59,21.9,15.18,12.25,4.3,1.93,4.92,3.22,2.52,2.63,2.19,3.52,2.83,2.16
g_1,16.41,12.49,14.9,14.82,16.53,14.34,3.34,2.96,1.66,2.87,2.91,2.84,1.67,2.95,2.46,2.32
c_0,18.84,16.0,29.02,8.25,16.34,16.99,4.32,5.16,4.25,2.0,3.85,3.61,2.34,3.33,3.42,2.25
b_0,19.03,15.93,26.91,13.66,27.13,14.98,5.61,4.27,5.23,1.91,2.08,3.34,2.41,3.66,3.35,2.32
f_0,26.8,17.49,20.86,19.72,18.14,15.55,4.94,4.6,3.52,3.76,3.66,2.06,2.85,3.18,3.51,1.51
h_0,25.72,22.93,29.02,23.09,22.35,18.72,9.93,4.98,7.11,4.96,4.75,4.95,4.91,4.26,4.47,3.42
e_0,32.81,32.7,28.04,23.82,23.48,21.98,6.22,5.23,6.96,5.65,5.22,2.81,3.43,2.32,4.96,2.89
a_0,24.71,24.1,29.53,23.63,34.07,32.1,8.39,5.12,7.6,4.48,2.9,6.82,4.26,5.81,2.31,3.42
g_0,37.68,30.82,32.72,28.91,28.8,23.51,6.97,7.1,9.76,6.88,5.86,5.37,3.29,5.01,5.75,5.08
