,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.43,1.65,1.54,1.91,1.64,1.74,3.28,5.19,3.58,3.42,3.8,4.18,4.5,3.86,4.75,3.86
f_1,2.21,2.46,1.63,1.65,1.59,1.6,3.07,3.9,3.39,3.43,3.31,3.14,3.86,3.83,4.58,3.03
d_1,1.66,1.79,2.48,1.48,1.6,1.6,3.28,3.33,5.07,3.21,4.2,3.9,4.67,3.95,4.41,4.31
c_1,1.6,1.7,1.63,2.63,2.51,1.77,3.05,3.03,2.56,2.89,2.87,3.44,4.24,3.38,4.32,3.86
b_1,1.76,1.74,1.72,1.57,2.89,2.58,3.23,3.46,3.55,3.07,2.78,3.4,4.67,3.29,4.2,3.82
a_1,1.6,1.92,1.82,1.72,1.5,3.51,3.51,3.39,3.54,3.54,4.15,3.33,5.01,3.17,4.85,3.71
h_1,1.75,1.99,1.74,1.84,1.65,1.45,4.3,3.35,3.53,3.89,3.72,3.75,4.13,3.87,5.55,4.18
d_0,1.54,1.7,1.43,2.62,1.95,1.8,3.22,4.28,3.09,3.31,3.74,3.91,4.74,3.74,4.9,3.9
c_0,1.65,1.92,1.68,1.8,1.52,1.65,3.47,3.96,4.52,3.61,5.77,4.3,5.5,5.04,5.12,4.39
g_1,1.48,1.69,2.23,1.77,1.59,1.66,3.02,3.42,3.98,4.76,3.95,4.56,4.42,4.06,4.71,4.51
b_0,1.57,1.9,1.68,2.02,1.61,1.44,3.47,4.04,3.43,3.62,4.78,4.27,5.26,6.46,5.07,4.53
f_0,1.33,1.72,1.86,1.9,1.92,1.83,3.56,3.8,3.64,3.48,3.89,5.04,5.0,4.3,4.62,7.03
h_0,1.68,2.15,1.82,1.76,1.7,1.73,2.85,3.51,3.51,3.88,3.46,3.49,4.4,3.7,5.46,3.74
a_0,1.65,1.81,1.8,1.76,1.9,1.53,3.36,3.93,3.81,3.34,3.72,4.23,4.64,5.44,4.86,4.31
g_0,1.56,1.7,2.19,1.65,1.8,1.8,2.93,3.25,3.55,3.0,3.75,4.95,4.53,3.52,4.26,4.75
e_0,1.3,1.91,1.87,1.93,1.86,1.95,3.54,3.59,3.65,3.28,3.84,3.33,5.1,4.02,4.99,5.59
