,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.45,30.04,28.37,35.28,34.41,35.16,5.37,7.42,12.04,6.96,6.13,,3.25,5.59,4.44,9.91
e_1,22.74,0.45,32.85,32.09,30.25,33.07,8.14,9.48,7.55,6.86,5.2,8.66,4.14,6.82,6.56,
d_1,36.63,46.62,0.43,33.79,40.29,30.74,9.35,,5.38,7.52,4.73,6.96,3.32,9.94,3.11,8.81
c_1,30.19,41.24,51.93,0.42,30.33,38.34,8.36,3.28,15.76,,7.86,5.97,6.48,7.99,3.89,5.73
b_1,41.44,41.6,39.28,19.03,0.4,59.33,10.95,7.17,10.16,8.97,,8.1,4.27,6.76,5.12,5.18
a_1,57.55,47.91,52.79,60.34,21.3,0.32,,7.4,,6.2,11.56,8.84,7.58,,4.99,
h_1,16.69,21.44,16.51,21.35,17.82,,0.37,2.98,5.18,4.58,3.68,2.68,,3.6,2.24,4.04
d_0,13.96,7.19,,16.77,11.43,13.0,4.39,0.49,7.13,3.43,3.55,4.24,1.98,2.79,3.31,3.2
g_1,18.95,22.65,26.48,18.92,20.6,,4.07,4.51,0.33,3.28,4.98,4.63,2.56,4.33,,4.48
c_0,17.0,17.51,7.28,,16.6,20.14,6.59,3.66,3.7,0.46,3.1,2.78,2.72,3.3,2.72,2.93
b_0,22.97,16.91,13.17,22.81,,15.36,4.54,3.8,4.35,2.0,0.49,2.38,2.25,3.38,1.88,2.42
f_0,,20.68,25.39,11.52,21.63,17.58,4.72,3.0,2.54,2.99,4.12,0.44,2.76,3.46,1.69,3.27
h_0,10.24,11.13,13.8,15.02,17.1,10.19,,3.31,2.99,2.69,2.43,2.59,,2.53,1.47,2.13
a_0,18.38,37.2,17.56,16.73,29.92,,5.99,5.86,5.71,4.28,1.89,4.17,2.97,0.38,3.83,
g_0,14.66,11.87,14.94,15.37,14.32,15.96,3.14,2.91,,2.83,4.58,3.99,1.51,2.44,,
e_0,27.04,,24.81,21.0,24.15,,4.56,3.09,6.84,6.04,3.97,2.24,2.5,,,0.36
