,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,117.28,115.38,76.69,132.16,126.57,326.4,9225.2,19997.73,20846.5,27814.09,34754.86,44338.55,89704.66,99324.91,121385.34,188084.86
e_1,73.34,120.68,78.66,149.02,127.69,344.03,9760.21,21614.59,21319.92,36973.91,38026.82,58945.2,94848.1,120781.84,134129.82,196716.29
d_1,82.76,79.65,127.87,97.92,119.18,379.02,9231.78,33077.33,20011.26,22573.09,45564.17,57913.84,96887.92,122596.53,156166.92,178256.87
c_1,63.78,56.83,78.27,171.43,181.1,287.83,7864.03,13736.41,19150.22,16663.03,24522.86,45687.77,80941.89,91985.56,130149.81,166925.75
b_1,65.59,62.42,77.11,85.58,179.92,525.44,8921.46,19692.8,17102.39,20587.1,25495.52,45011.61,81587.3,76198.76,115786.25,168840.25
a_1,53.78,49.89,51.69,81.16,63.39,412.64,7040.55,14508.25,13557.19,18287.68,25789.98,35953.97,63506.17,62344.42,86119.98,121872.01
h_1,25.15,20.63,23.24,33.31,30.97,82.89,3225.71,5778.31,6290.38,6011.08,10130.09,13303.47,22756.57,31620.67,35880.2,58104.97
c_0,18.64,16.95,16.33,25.35,24.13,62.26,1924.07,5632.87,4904.38,5838.93,11924.65,11549.07,21013.9,30474.41,33327.63,37801.34
g_1,13.78,14.3,22.69,25.07,26.34,68.55,1738.89,4876.9,6058.42,4531.33,7400.77,14739.66,18213.27,21848.2,29405.98,33975.46
d_0,14.82,13.67,15.38,37.78,28.07,56.74,2058.59,3774.52,4376.16,5784.83,7402.42,9624.13,19925.64,23959.91,28195.26,37163.99
b_0,14.98,14.69,14.33,24.3,21.18,47.04,1778.96,3669.65,3985.34,4408.75,8335.44,9571.49,17829.8,32160.07,27177.13,31481.02
f_0,11.2,10.71,13.3,19.86,22.0,51.71,1593.29,3876.46,3091.52,3831.91,6230.45,10863.6,16049.79,22785.28,36826.2,25886.9
h_0,12.5,11.18,12.13,17.35,17.4,41.08,1176.73,3142.46,3411.19,3316.14,4734.39,7001.24,11088.03,13943.69,21245.53,29452.08
a_0,10.53,9.21,9.93,17.23,17.88,35.95,1167.93,2643.45,2701.82,3037.22,4508.94,6312.36,11972.03,18762.15,21118.39,21399.58
e_0,9.58,7.56,10.15,14.38,14.78,37.23,1123.49,2625.12,2767.11,2690.71,4587.94,5703.94,11622.43,12835.22,23671.56,21029.98
g_0,7.95,7.65,11.81,13.59,13.35,35.58,1018.13,2548.54,2279.39,2526.6,4575.01,8435.7,10056.48,13610.63,19471.72,18562.05
