,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.95,0.46,0.42,0.42,0.7,0.23,0.32,0.27,0.24,0.14,0.27,0.19,0.26,0.19,0.17,0.21
f_1,0.48,0.95,0.49,0.68,0.36,0.23,0.29,0.28,0.27,0.26,0.15,0.25,0.21,0.11,0.2,0.2
d_1,0.41,0.5,0.95,0.42,0.41,0.29,0.34,0.25,0.22,0.45,0.27,0.32,0.25,0.22,0.2,0.21
e_1,0.55,0.42,0.42,0.95,0.45,0.31,0.29,0.29,0.49,0.27,0.28,0.26,0.27,0.16,0.2,0.26
b_1,0.4,0.52,0.46,0.46,0.94,0.58,0.37,0.26,0.3,0.27,0.26,0.16,0.26,0.19,0.18,0.21
a_1,0.69,0.64,0.5,0.46,0.37,0.94,0.35,0.38,0.36,0.33,0.3,0.3,0.29,0.29,0.17,0.29
h_1,0.73,0.93,0.73,0.67,0.56,0.51,0.75,0.54,0.43,0.44,0.35,0.4,0.3,0.27,0.3,0.42
g_1,0.71,0.7,1.07,0.66,0.67,0.4,0.48,0.76,0.45,0.44,0.61,0.4,0.35,0.37,0.3,0.32
d_0,1.32,0.77,0.57,0.64,0.71,0.47,0.48,0.44,0.67,0.33,0.48,0.39,0.39,0.34,0.34,0.38
c_0,0.82,0.84,0.74,0.74,0.55,0.49,0.57,0.51,0.55,0.67,0.47,0.79,0.47,0.4,0.37,0.43
f_0,0.9,0.66,0.94,0.68,0.77,0.57,0.58,0.41,0.46,0.5,0.66,0.52,0.44,0.63,0.4,0.38
b_0,0.91,1.02,0.82,0.78,0.58,0.42,0.57,0.5,0.56,0.42,0.38,0.65,0.51,0.38,0.64,0.44
h_0,0.84,1.14,0.92,0.84,0.72,0.52,0.52,0.71,0.59,0.51,0.5,0.44,0.37,0.38,0.4,0.54
e_0,0.94,1.27,0.98,0.55,0.86,0.51,0.71,0.55,0.47,0.41,0.39,0.48,0.54,0.64,0.37,0.44
a_0,0.98,0.95,1.04,0.8,0.78,0.49,0.64,0.58,0.53,0.48,0.41,0.37,0.49,0.38,0.62,0.47
g_0,1.04,0.82,1.21,0.75,0.83,0.5,0.51,0.43,0.53,0.57,0.66,0.5,0.46,0.39,0.4,0.38
