,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.67,2.23,1.83,1.72,1.87,1.88,0.98,0.95,0.64,1.91,0.89,0.65,0.56,0.63,0.43,0.8
f_1,2.15,0.66,2.31,1.98,2.05,1.51,0.77,0.74,1.09,0.8,0.69,1.02,0.46,0.72,0.58,0.58
e_1,2.5,1.32,0.66,2.2,2.15,2.2,0.92,0.8,0.91,0.85,0.83,0.99,0.61,0.76,0.71,1.49
c_1,2.89,2.53,2.07,0.63,2.94,1.95,0.82,1.08,0.85,0.5,0.64,0.7,0.71,0.8,0.66,0.87
b_1,2.25,2.68,2.18,1.31,0.62,3.31,1.28,0.92,1.11,0.74,2.63,0.89,0.77,0.72,0.73,0.75
a_1,2.75,3.05,2.44,2.94,1.43,0.57,1.35,1.13,1.17,0.99,1.06,1.17,0.97,2.23,0.9,0.8
h_1,2.31,2.65,2.88,3.49,2.43,2.4,0.6,0.85,1.37,0.99,0.9,0.98,1.24,0.76,0.9,0.76
c_0,1.71,2.88,3.34,6.73,2.65,2.72,1.3,0.67,1.57,1.29,1.24,0.99,1.02,1.15,1.04,0.94
g_1,2.87,3.13,3.41,3.2,3.02,2.52,0.9,1.02,0.57,0.97,0.97,0.86,0.73,1.02,0.97,0.75
d_0,3.59,2.57,1.93,3.56,3.29,2.82,1.42,1.04,1.65,0.67,1.19,0.88,0.83,1.05,0.79,0.8
b_0,2.47,3.02,2.88,4.37,3.79,2.31,1.54,0.68,1.39,1.0,0.65,1.29,1.0,1.31,0.93,0.97
f_0,3.15,6.23,2.76,3.63,2.48,2.53,1.33,1.13,1.12,1.29,0.96,0.63,0.96,1.12,0.64,1.15
h_0,3.21,3.71,3.32,3.33,3.2,2.73,2.16,1.12,1.56,1.26,1.04,1.17,1.67,1.0,1.08,1.01
a_0,3.1,3.92,3.54,4.48,4.1,,1.6,0.94,1.5,1.72,0.69,1.15,0.93,0.6,0.97,1.04
g_0,3.4,3.97,3.6,3.63,3.25,2.77,1.29,1.04,2.13,1.64,1.1,1.29,0.79,1.05,1.51,1.28
e_0,2.98,4.27,7.48,3.03,3.23,4.35,1.95,1.33,1.66,1.64,1.22,0.73,1.09,1.19,0.93,0.6
