,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,5.97,0.4,0.67,0.69,0.64,0.44,2.14,5.64,2.58,2.39,2.37,3.43,4.81,5.73,0.81,3.12
d_1,0.47,6.17,0.59,0.49,0.53,0.54,2.16,0.62,5.97,2.21,3.46,3.34,5.04,3.89,4.3,3.44
f_1,1.07,0.57,6.16,0.65,0.42,0.74,2.04,2.36,2.61,1.84,2.65,0.5,4.79,3.97,2.85,3.18
c_1,0.61,0.47,0.59,6.26,1.19,0.45,2.76,2.76,0.55,1.98,2.21,3.23,3.72,3.73,3.5,2.62
b_1,0.65,0.67,0.7,0.47,7.37,1.15,1.84,2.67,2.55,2.39,0.68,2.67,4.44,3.7,1.92,2.14
a_1,0.64,0.59,0.64,0.65,0.39,10.73,2.59,3.3,3.28,2.35,2.97,3.33,3.6,4.0,2.18,0.78
h_1,1.06,1.07,1.28,1.15,1.06,0.96,14.98,5.06,4.67,4.98,5.25,5.26,2.56,8.42,4.95,6.43
d_0,0.92,0.21,1.35,2.17,0.98,1.04,3.34,13.01,3.88,2.98,5.57,4.15,6.83,6.32,4.14,6.91
c_0,1.07,1.41,1.11,0.36,1.02,0.97,3.04,5.06,13.78,3.22,11.43,6.71,7.0,7.96,6.52,6.55
g_1,0.67,1.94,0.9,1.19,0.94,0.66,3.18,4.68,4.69,19.02,5.38,8.34,5.4,4.14,5.79,4.97
b_0,1.0,1.23,1.17,1.18,0.46,0.69,5.93,4.34,5.95,4.02,16.45,5.73,7.38,7.69,5.05,13.04
f_0,1.03,1.39,0.33,0.93,1.38,1.08,4.19,5.57,5.58,3.42,5.58,15.65,7.52,10.22,10.4,5.52
h_0,1.15,1.07,1.53,0.93,0.87,0.89,1.48,4.71,5.17,5.66,5.2,4.91,3.28,8.65,4.82,4.56
g_0,0.88,1.92,0.62,1.22,1.0,1.02,3.97,4.12,4.22,1.52,4.13,8.25,6.64,2.73,4.76,4.58
e_0,0.32,1.18,1.09,1.19,1.03,1.26,4.31,4.82,5.73,4.07,6.73,7.18,10.72,10.62,24.68,5.21
a_0,0.86,1.28,1.02,1.22,1.04,,4.43,6.39,4.62,4.2,4.88,5.92,10.13,6.77,6.41,22.21
