,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.04,1.6,1.33,1.59,1.28,1.32,0.45,0.38,0.53,0.44,0.4,0.41,0.27,0.37,0.34,0.33
e_1,1.17,1.04,1.57,1.88,1.51,1.24,0.63,0.48,0.61,0.56,0.45,0.59,0.34,0.39,0.34,0.43
d_1,1.76,1.73,1.04,1.44,1.4,1.06,0.54,0.53,0.41,0.55,0.45,0.42,0.35,0.36,0.26,0.37
c_1,1.72,1.29,1.88,1.04,1.75,1.37,0.66,0.53,0.57,0.33,0.46,0.46,0.35,0.38,0.34,0.38
b_1,2.32,1.94,1.88,1.23,1.05,1.78,0.8,0.76,0.68,0.55,0.7,0.55,0.46,0.46,0.43,0.45
a_1,2.63,2.81,2.92,2.47,1.52,1.07,1.0,0.82,0.98,0.85,0.87,0.77,0.64,0.96,0.66,0.66
h_1,4.8,4.19,4.2,3.98,3.47,3.18,1.23,1.18,1.52,1.31,1.29,1.04,1.09,1.04,0.97,1.02
c_0,6.04,5.41,3.66,6.17,4.44,4.02,2.06,1.33,1.64,1.98,1.71,1.42,1.22,1.39,1.13,1.23
g_1,5.47,4.96,5.89,6.26,4.25,3.74,1.64,1.47,1.26,1.45,1.46,1.48,0.92,1.44,1.1,1.36
d_0,5.19,3.68,6.36,6.14,5.47,4.48,2.17,1.48,2.16,1.37,1.48,1.57,1.3,1.37,1.2,1.42
b_0,6.01,6.06,5.32,7.24,6.07,4.39,2.17,1.21,2.02,1.8,1.34,1.58,1.32,1.92,1.3,1.37
f_0,8.32,5.63,6.14,5.89,4.99,4.49,2.56,1.77,1.68,1.72,1.73,1.35,1.32,1.8,1.0,1.68
h_0,8.0,7.34,7.42,7.18,6.24,5.14,3.05,2.04,3.05,2.2,1.95,2.06,1.84,1.79,1.67,1.62
a_0,8.44,7.8,7.5,8.72,7.56,6.01,3.42,2.09,2.31,2.31,1.37,1.96,1.92,1.48,1.58,1.98
g_0,7.91,7.85,8.68,8.0,7.77,5.69,2.54,2.4,3.42,2.37,2.22,2.64,1.58,2.14,1.9,2.02
e_0,11.13,10.44,8.0,8.54,8.03,6.55,3.31,2.39,2.52,2.3,2.43,1.51,2.1,2.39,1.62,1.47
