,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.31,0.95,0.98,0.82,0.71,0.6,0.61,0.76,0.56,0.55,0.59,0.5,0.54,0.5,0.61
e_1,0.77,1.0,0.81,1.22,1.09,0.87,0.75,0.94,0.69,0.67,0.7,0.65,0.6,0.64,0.56,0.56
d_1,1.05,1.23,1.0,0.86,0.83,0.89,0.72,0.67,0.5,0.92,0.63,0.64,0.52,0.55,0.61,0.45
c_1,1.03,0.83,1.15,1.0,1.35,0.86,0.71,0.48,0.7,0.59,0.6,0.56,0.59,0.55,0.59,0.59
b_1,1.21,0.92,1.21,0.73,1.0,1.24,0.76,0.69,0.7,0.69,0.75,0.56,0.58,0.66,0.6,0.68
a_1,1.42,1.15,1.1,1.17,0.81,1.0,0.97,0.92,0.79,0.77,0.75,1.05,1.07,0.69,0.61,0.64
h_1,1.67,1.37,1.3,1.43,1.3,1.03,1.0,0.86,1.1,0.83,0.81,0.8,0.76,0.88,0.72,0.89
d_0,1.61,1.03,1.48,2.22,1.53,1.07,1.16,1.0,1.02,0.87,0.89,1.03,0.87,0.89,0.87,1.02
g_1,1.34,1.44,2.04,1.37,1.43,1.19,0.89,0.97,1.0,0.85,1.04,1.03,0.8,0.79,0.94,0.87
c_0,1.78,1.5,1.11,1.56,1.45,1.19,1.2,1.1,1.2,1.0,0.97,1.42,1.08,0.98,0.92,0.93
f_0,1.72,1.38,1.63,1.65,1.37,1.28,1.24,1.12,0.99,0.96,1.0,1.12,0.96,0.96,1.43,0.65
b_0,1.68,1.54,1.53,1.94,1.75,0.9,1.19,0.98,1.05,0.71,0.92,1.0,1.5,0.99,0.9,0.9
a_0,1.99,1.66,1.9,1.74,1.92,1.08,1.31,1.19,1.17,0.93,1.01,0.71,1.0,1.07,0.97,0.93
h_0,1.95,1.6,1.83,1.81,1.51,1.32,1.11,1.09,1.29,1.02,0.99,1.03,0.92,1.0,0.97,1.11
e_0,2.06,1.64,1.67,1.76,1.72,1.65,1.32,1.0,1.13,1.05,0.78,1.09,1.01,1.01,1.0,0.88
g_0,1.72,1.73,2.16,1.8,1.4,1.58,1.14,1.01,1.16,1.04,1.58,1.14,1.02,0.91,1.06,1.0
