,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10.65,0.67,1.11,0.58,0.64,0.62,0.93,2.45,0.88,0.91,1.0,1.14,1.02,0.97,0.7,0.96
f_1,1.83,10.88,0.67,0.67,0.56,0.61,0.81,0.97,0.77,0.69,0.96,0.58,0.89,0.86,0.68,0.81
c_1,0.55,0.67,11.54,0.64,1.82,0.74,0.95,0.87,0.54,0.9,0.54,0.9,1.05,0.87,0.96,0.97
d_1,0.65,0.71,0.44,14.66,0.57,0.71,0.98,0.57,2.44,1.04,1.65,1.04,0.99,1.34,1.08,1.23
b_1,0.52,0.83,0.66,0.66,13.79,1.92,0.95,0.66,0.81,0.93,0.51,0.89,0.94,0.72,1.15,0.84
a_1,0.69,0.97,0.8,0.69,0.64,16.36,1.02,0.86,1.1,0.94,1.02,0.87,1.04,0.54,0.91,0.95
h_1,0.69,1.29,0.67,1.05,0.64,0.69,3.32,0.81,0.94,1.75,1.15,1.12,0.69,1.05,1.27,1.45
d_0,0.67,0.77,2.25,0.53,0.95,0.69,0.97,1.7,0.74,1.03,1.08,1.08,1.22,1.12,1.25,0.92
c_0,0.85,0.82,0.63,1.2,0.52,0.81,1.02,1.08,2.09,0.93,3.13,1.06,1.08,1.29,1.21,1.2
g_1,0.56,0.5,0.72,1.89,0.76,0.72,0.92,0.92,1.13,4.51,1.13,2.36,1.07,1.14,1.44,0.87
b_0,0.91,0.69,1.01,0.97,0.52,0.58,1.16,1.18,1.07,1.14,2.39,1.36,1.22,2.63,1.04,1.4
f_0,0.57,0.6,0.82,0.85,1.01,0.86,1.43,1.13,1.03,1.2,1.07,2.56,1.23,1.28,2.91,1.24
h_0,0.74,1.21,0.77,1.02,0.75,0.64,0.85,0.95,1.05,1.31,1.01,0.92,0.89,1.15,1.11,1.39
a_0,0.72,0.73,0.86,1.02,0.84,0.47,1.11,1.31,1.14,1.49,1.1,1.59,1.19,2.74,1.11,1.16
e_0,0.52,0.84,0.83,1.09,0.79,0.74,1.11,0.94,0.99,1.4,1.23,1.2,1.16,1.33,2.65,0.93
g_0,0.56,0.55,0.69,1.9,0.83,0.74,1.17,0.64,1.05,0.81,0.95,1.98,1.2,1.12,1.43,1.02
