,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.1,1.72,3.35,3.21,2.95,2.95,0.96,0.93,0.68,0.59,0.66,0.8,0.47,0.52,0.6,1.0
f_1,2.68,1.1,2.91,3.17,3.03,2.66,0.66,0.91,0.59,0.67,0.58,0.9,0.29,0.48,0.54,0.56
d_1,3.76,3.56,1.1,3.12,3.22,3.16,0.91,0.58,1.14,0.61,0.62,0.57,0.48,0.28,0.65,0.57
c_1,2.72,3.31,4.54,1.11,3.18,2.79,0.94,0.96,0.41,0.91,0.67,0.65,0.51,0.46,0.56,0.57
b_1,3.71,4.49,3.79,2.13,1.12,3.41,1.22,1.26,0.8,1.02,1.05,0.78,0.6,0.59,0.79,0.79
a_1,6.07,7.19,5.56,5.12,2.99,1.13,1.8,1.78,1.41,1.19,1.23,1.02,0.87,0.93,1.69,1.03
h_1,11.01,11.06,10.07,11.0,11.63,9.28,1.59,3.17,2.59,2.12,2.08,2.51,1.9,1.65,2.02,1.8
g_1,13.62,15.35,12.01,14.0,15.55,12.49,3.1,1.66,3.42,3.11,2.96,2.71,1.66,2.39,3.26,2.7
d_0,8.62,12.88,20.39,14.0,14.98,14.01,4.63,5.36,1.99,3.01,3.28,3.12,2.25,2.34,2.75,3.06
c_0,17.74,16.95,8.74,23.81,14.46,19.1,4.66,4.25,4.52,1.99,3.95,2.94,2.54,2.34,2.79,3.17
b_0,18.27,17.88,13.54,27.75,27.95,17.87,5.18,5.41,4.19,2.13,2.1,3.71,2.91,2.46,3.39,3.37
f_0,17.08,27.85,15.43,20.32,19.64,17.09,4.23,3.3,4.04,3.3,4.2,1.98,3.09,1.89,3.64,3.11
h_0,21.71,23.33,21.17,20.59,20.05,18.21,8.8,6.18,4.55,4.87,3.89,3.96,3.91,3.12,3.72,3.98
g_0,27.54,29.94,27.07,25.53,27.42,24.97,5.64,8.65,5.92,5.19,4.65,4.68,3.33,5.13,5.77,4.71
a_0,27.54,27.02,24.47,27.04,35.02,35.42,7.21,6.65,6.08,5.15,2.83,4.68,4.06,4.26,2.44,5.0
e_0,36.53,39.92,26.21,29.82,25.96,25.63,7.33,6.72,6.08,5.94,5.73,3.03,4.48,4.01,5.41,2.43
