,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.69,0.87,0.76,0.98,0.78,0.71,0.98,0.91,1.5,0.89,0.97,1.0,1.0,1.09,0.77,0.85
f_1,1.31,1.74,0.74,0.81,0.74,0.66,0.92,0.84,0.94,0.75,0.67,0.9,0.93,0.76,0.72,0.96
d_1,0.85,0.83,1.97,0.67,0.72,0.77,0.86,1.0,0.74,1.68,1.08,1.26,1.04,1.02,1.01,1.01
c_1,0.73,0.8,0.79,2.05,1.37,0.79,0.92,0.93,0.85,0.64,0.85,0.72,0.93,0.91,0.98,0.93
b_1,0.71,0.82,0.8,0.82,2.12,1.47,1.04,1.03,0.89,0.98,1.04,0.72,0.98,0.87,1.04,1.0
a_1,0.71,0.95,0.88,0.83,0.8,3.08,1.08,0.81,0.95,0.97,0.98,0.94,1.0,0.74,0.92,1.03
h_1,0.83,1.05,0.98,0.88,0.77,0.71,1.73,1.36,0.95,1.0,1.12,1.0,0.84,1.03,1.1,1.17
g_1,0.8,0.86,1.21,0.78,0.76,0.75,1.06,2.0,0.91,1.09,1.6,0.97,1.02,1.04,1.36,0.91
d_0,0.73,0.89,0.69,1.39,0.94,0.83,1.04,0.93,1.37,0.8,1.08,0.97,1.09,1.16,1.15,1.13
c_0,0.88,0.88,1.01,0.72,0.73,0.79,1.06,1.07,1.03,1.51,1.26,1.98,1.18,1.4,1.26,1.26
f_0,0.71,0.82,1.02,0.97,0.87,0.89,1.11,1.18,1.04,1.05,1.73,1.19,1.17,1.22,2.09,1.3
b_0,0.89,0.89,1.01,0.86,0.71,0.66,1.03,1.17,0.96,0.95,1.18,1.72,1.19,2.06,1.32,1.23
h_0,0.86,1.07,0.95,0.87,0.8,0.82,0.75,1.25,1.0,0.92,1.09,0.96,0.89,0.88,1.11,1.25
a_0,0.86,0.9,1.0,0.84,0.82,0.7,1.09,1.04,0.95,1.01,1.08,0.99,1.18,1.85,1.21,1.08
e_0,0.67,1.03,0.99,0.86,0.93,0.71,1.14,1.12,0.94,1.1,0.9,1.24,1.14,1.29,1.99,1.19
g_0,0.75,0.7,1.38,0.97,0.71,0.76,1.01,0.97,0.87,1.1,1.42,1.21,1.12,1.14,1.07,0.94
