,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.49,0.18,0.16,0.15,0.16,0.13,0.2,0.16,0.2,0.35,0.19,0.19,0.14,0.18,,0.15
f_1,0.23,1.49,0.18,0.16,0.2,0.15,0.17,0.16,0.23,0.21,0.21,,0.17,0.18,0.13,0.17
d_1,0.15,0.2,1.5,0.13,0.16,0.14,0.23,0.18,0.31,,0.2,0.2,0.16,0.18,0.15,0.18
c_1,0.21,0.13,0.19,1.57,0.25,0.12,0.19,0.18,,0.21,0.22,0.22,0.12,0.22,0.17,0.19
b_1,0.2,0.14,0.2,0.14,1.61,0.25,0.22,0.2,0.19,0.19,,0.19,0.16,0.25,0.14,0.22
a_1,0.2,0.18,0.15,0.22,0.13,1.76,0.28,0.16,0.26,0.23,0.24,0.15,,0.26,,0.22
h_1,0.39,0.56,0.37,0.37,0.29,0.23,1.6,0.57,0.47,0.48,0.5,0.39,0.42,,0.35,0.39
g_1,0.37,0.45,0.51,0.45,0.32,0.35,0.35,1.67,0.46,0.44,0.33,0.68,0.3,0.51,0.4,
c_0,0.52,0.44,0.41,,0.4,0.32,0.59,0.6,1.42,0.48,0.86,0.56,0.37,0.55,0.46,0.61
d_0,0.39,0.38,,0.69,0.46,0.35,0.51,0.61,0.56,1.44,0.56,0.57,0.51,0.66,0.44,0.49
b_0,0.46,0.41,0.49,0.4,,0.32,0.58,0.65,0.41,0.49,1.44,0.53,0.94,0.7,0.51,0.65
f_0,0.42,,0.47,0.45,0.41,0.43,0.68,0.35,0.48,0.55,0.6,1.5,0.44,0.79,,0.54
a_0,0.57,0.54,0.63,0.53,0.34,,0.68,0.57,0.61,0.47,0.36,0.58,1.59,0.6,,0.5
h_0,0.65,0.84,0.66,0.62,0.58,0.33,,0.78,0.66,0.78,0.55,0.44,0.76,,0.42,0.98
e_0,,0.62,0.48,0.42,0.46,,0.76,0.56,0.52,0.62,0.55,,,0.85,1.68,0.56
g_0,0.64,0.66,0.73,0.53,0.53,0.41,0.83,,0.97,0.5,0.69,0.93,0.74,0.56,0.59,
