,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.68,6.76,4.89,6.34,5.26,5.4,1.69,1.83,2.12,2.01,,2.14,1.23,2.45,1.58,2.16
e_1,3.41,0.68,6.28,5.05,5.39,5.76,3.08,2.44,3.27,1.86,1.93,1.85,1.86,,2.47,1.44
c_1,7.02,5.74,0.65,5.51,6.67,4.46,2.28,1.68,3.31,,2.15,1.63,1.67,,2.07,1.98
d_1,5.73,7.58,7.02,0.65,4.95,5.96,3.25,,1.72,2.13,2.39,2.45,1.63,1.67,2.15,1.11
b_1,6.68,7.34,4.12,7.52,0.62,7.01,2.6,2.32,3.0,2.51,2.17,,1.66,,2.54,1.45
a_1,6.61,6.9,6.48,7.08,4.56,0.58,3.68,3.16,3.03,,2.61,,2.3,1.95,,2.03
h_1,5.79,5.76,4.88,4.12,5.38,4.66,0.6,1.77,2.63,2.02,1.6,1.7,,1.5,1.73,1.27
d_0,4.76,3.03,5.17,,4.41,3.54,2.28,0.7,2.04,2.27,1.95,1.66,1.45,1.16,1.57,1.89
g_1,6.5,4.75,5.46,5.74,6.06,5.72,1.73,2.29,0.57,1.9,2.56,1.67,1.17,,2.13,
c_0,5.64,5.21,,3.37,5.47,,1.67,1.61,2.82,0.7,1.76,1.94,1.39,1.48,1.5,1.17
f_0,,5.93,5.08,4.12,5.82,5.52,3.18,1.54,1.36,1.46,0.68,1.84,1.66,2.28,,1.07
b_0,5.31,5.29,6.32,6.59,,,2.49,2.38,2.35,1.15,1.83,0.68,1.26,1.32,1.91,1.48
h_0,5.25,3.73,4.26,5.27,3.94,3.87,,1.54,2.49,1.74,1.35,1.5,,1.47,1.51,1.33
e_0,5.79,,,6.45,,5.38,3.28,3.27,,2.17,1.25,2.67,1.98,0.6,,1.6
a_0,7.71,5.54,6.33,5.52,5.64,,2.35,2.22,2.34,2.09,,1.53,2.25,,0.59,
g_0,4.64,7.28,3.88,5.92,5.09,4.64,2.07,1.55,,2.43,1.79,1.86,1.37,1.44,,
