,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.65,1.04,0.88,0.97,0.94,0.74,0.35,0.42,0.33,0.36,0.32,0.37,0.23,0.34,0.28,0.28
e_1,0.69,0.64,0.94,1.13,0.98,0.91,0.48,0.44,0.36,0.42,0.38,0.43,0.29,0.36,0.31,0.45
d_1,1.03,1.02,0.64,0.86,0.91,0.85,0.37,0.33,0.41,0.4,0.36,0.34,0.27,0.29,0.21,0.3
c_1,1.05,0.82,1.2,0.63,1.09,0.83,0.46,0.44,0.42,0.23,0.33,0.34,0.3,0.32,0.29,0.33
b_1,1.1,1.03,1.1,0.74,0.62,1.05,0.55,0.49,0.47,0.37,0.41,0.37,0.32,0.34,0.31,0.35
a_1,1.45,1.2,1.15,1.21,0.76,0.57,0.57,0.57,0.41,0.47,0.52,0.39,0.35,0.5,0.32,0.41
h_1,1.77,1.51,1.61,1.58,1.37,1.23,0.53,0.76,0.56,0.56,0.58,0.53,0.5,0.51,0.45,0.49
g_1,1.87,1.71,1.73,1.71,1.58,1.38,0.6,0.52,0.61,0.54,0.57,0.61,0.39,0.49,0.47,0.49
c_0,1.94,1.73,1.2,2.21,1.7,1.67,0.8,0.69,0.54,0.8,0.71,0.6,0.54,0.62,0.5,0.56
d_0,1.72,1.22,1.98,2.13,1.8,1.54,0.84,0.93,0.59,0.56,0.7,0.61,0.56,0.62,0.57,0.69
b_0,2.08,1.73,1.51,2.22,2.04,1.41,0.76,0.73,0.47,0.65,0.52,0.62,0.54,0.7,0.49,0.61
f_0,2.28,1.78,1.87,1.81,1.81,1.53,0.88,0.64,0.67,0.72,0.61,0.53,0.52,0.6,0.41,0.63
h_0,2.17,2.1,1.94,2.07,1.72,1.77,1.03,0.93,0.68,0.81,0.7,0.72,0.67,0.65,0.61,0.61
a_0,2.09,1.94,2.21,2.46,2.22,1.98,0.89,0.93,0.69,0.81,0.51,0.73,0.54,0.5,0.6,0.65
g_0,2.32,2.11,2.32,2.09,2.07,1.89,0.82,1.06,0.74,0.78,0.75,0.8,0.51,0.7,0.67,0.76
e_0,2.86,2.3,2.13,2.14,2.02,1.61,0.87,0.92,0.8,0.68,0.76,0.49,0.78,0.75,0.52,0.5
