,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,108.15,52.82,50.39,95.81,85.11,234.39,9212.52,13614.54,33046.95,24557.88,36510.5,38518.96,92192.97,103265.52,89542.24,191977.97
f_1,76.12,113.84,64.44,75.29,60.62,227.08,6038.49,11123.96,15242.88,24874.02,16485.03,33704.01,75397.76,95749.42,99323.76,153471.66
d_1,49.49,51.85,138.82,62.36,71.47,226.15,6825.59,11374.24,9658.5,36494.0,30603.7,35382.74,84186.08,101190.71,106528.49,143606.56
c_1,36.2,44.16,64.27,152.14,115.08,193.17,6756.74,9103.61,14558.3,10142.64,29583.82,25413.58,74914.58,92311.4,108589.0,179941.61
b_1,40.08,45.83,64.03,47.79,159.21,369.62,5527.97,11256.46,16217.87,22648.91,34605.23,18227.93,75342.67,72499.64,115161.75,172421.76
a_1,29.23,32.96,45.19,44.35,36.95,418.73,4861.17,8457.77,10503.01,15398.51,20628.02,23341.0,52847.3,34442.95,93574.49,109451.75
h_1,11.18,18.4,18.83,19.72,20.86,62.23,3233.81,3889.0,4991.04,5415.52,7231.95,9274.38,14776.05,23598.94,34188.02,63124.68
g_1,9.37,10.35,19.43,19.24,18.5,45.33,1646.2,4975.59,3113.08,5356.17,10140.3,7099.95,14157.48,21470.4,24635.79,25175.37
d_0,8.21,11.83,10.39,25.84,14.08,50.44,1540.36,2846.96,5494.53,4255.41,6623.19,6940.85,16542.05,19861.89,24495.27,39555.3
c_0,10.47,10.62,11.14,11.62,11.47,49.04,1581.39,2245.6,3470.85,6565.03,6736.82,10640.06,15463.1,22398.63,19417.76,33907.36
f_0,6.12,7.72,11.91,14.01,15.67,43.22,1471.68,2035.99,3221.77,3183.89,8869.87,4933.97,15175.72,16511.14,38853.31,33542.76
b_0,7.65,9.45,11.17,15.58,11.33,29.64,1122.18,2300.92,3381.34,3806.31,6551.34,9173.69,14738.99,32167.83,21728.71,31650.39
h_0,6.13,8.41,9.3,9.22,9.65,30.84,656.84,2406.08,2697.22,3064.21,4487.3,4628.58,7712.09,15401.29,15230.97,28666.67
a_0,5.89,6.1,7.49,9.29,10.83,14.26,901.17,1752.8,1969.87,2868.05,4440.6,2934.85,9382.79,21606.27,14545.67,28604.0
e_0,3.62,6.92,9.24,8.11,8.05,25.77,924.46,1472.62,1954.11,3187.11,2897.02,3844.64,11370.82,11026.11,23625.46,17832.38
g_0,4.18,5.25,11.03,7.15,7.65,27.68,645.47,1164.34,1519.59,2404.2,4873.95,3298.3,8091.26,7504.02,17073.76,15071.28
