,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.88,0.18,0.07,0.08,0.07,0.04,0.07,0.08,0.04,0.05,0.06,0.02,0.08,0.04,0.04,0.06
e_1,0.1,0.88,0.11,0.05,0.07,0.04,0.07,0.16,0.06,0.07,0.06,0.06,0.08,0.04,0.01,0.06
c_1,0.08,0.08,0.87,0.08,0.14,0.06,0.08,0.08,0.05,0.01,0.04,0.06,0.07,0.06,0.05,0.06
d_1,0.1,0.08,0.06,0.88,0.06,0.03,0.09,0.02,0.06,0.16,0.09,0.06,0.09,0.06,0.05,0.06
b_1,0.08,0.08,0.09,0.07,0.87,0.1,0.09,0.09,0.05,0.07,0.01,0.08,0.08,0.03,0.06,0.04
a_1,0.1,0.1,0.09,0.08,0.06,0.87,0.06,0.09,0.07,0.07,0.05,0.07,0.1,0.01,0.03,0.06
h_1,0.25,0.15,0.14,0.17,0.09,0.06,0.52,0.12,0.13,0.11,0.1,0.09,0.05,0.08,0.09,0.13
d_0,0.18,0.15,0.29,0.04,0.12,0.08,0.13,0.38,0.09,0.11,0.14,0.08,0.11,0.09,0.06,0.11
g_1,0.14,0.13,0.14,0.25,0.1,0.06,0.1,0.15,0.51,0.12,0.11,0.18,0.09,0.06,0.1,0.06
c_0,0.21,0.11,0.07,0.16,0.1,0.08,0.14,0.21,0.12,0.41,0.29,0.12,0.19,0.1,0.08,0.1
b_0,0.19,0.17,0.15,0.16,0.03,0.05,0.13,0.17,0.11,0.21,0.42,0.11,0.18,0.19,0.09,0.12
f_0,0.06,0.15,0.18,0.18,0.12,0.09,0.11,0.16,0.12,0.12,0.1,0.39,0.16,0.11,0.19,0.15
h_0,0.21,0.14,0.13,0.18,0.12,0.08,0.05,0.13,0.13,0.14,0.11,0.11,0.05,0.08,0.09,0.16
a_0,0.2,0.19,0.17,0.19,0.09,,0.15,0.13,0.13,0.12,0.1,0.11,0.13,0.35,0.12,0.11
e_0,0.17,0.03,0.17,0.17,0.17,0.05,0.14,0.16,0.13,0.15,0.14,0.11,0.16,0.1,0.36,0.15
g_0,0.16,0.11,0.18,0.23,0.12,0.08,0.11,0.1,0.04,0.1,0.09,0.17,0.16,0.08,0.09,0.05
