,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.44,4.51,3.87,5.27,3.87,3.72,0.87,1.34,1.03,0.95,0.73,3.19,0.78,0.44,0.88,0.75
e_1,2.45,0.43,4.38,4.16,5.19,4.99,1.35,1.68,0.9,0.97,0.82,1.04,1.16,0.75,5.88,0.63
d_1,4.73,6.65,0.43,4.36,3.96,3.73,1.09,0.73,0.81,4.45,0.92,0.74,0.73,0.62,0.86,0.37
c_1,4.93,3.94,5.12,0.42,4.07,4.66,1.28,1.05,3.59,0.51,1.01,0.79,0.9,0.69,0.84,0.7
b_1,5.64,4.01,5.34,2.31,0.41,5.48,1.42,1.88,1.21,1.02,3.64,1.06,1.05,0.81,1.25,0.75
a_1,5.23,5.94,5.38,6.48,3.75,0.34,2.74,2.27,1.08,1.18,1.64,1.12,5.6,0.92,1.33,0.8
h_1,5.82,4.59,4.64,6.41,5.68,5.71,0.35,1.81,0.97,0.79,1.17,0.94,0.97,1.77,0.77,0.68
g_1,5.35,7.15,5.27,7.78,6.83,5.29,1.09,0.31,0.93,1.36,1.21,0.88,1.11,0.5,0.98,1.76
c_0,6.47,5.47,2.77,24.66,6.62,5.36,1.28,2.08,0.41,1.37,1.07,0.93,1.06,0.75,1.17,0.87
d_0,5.91,2.98,26.23,5.34,6.41,4.86,1.83,2.0,1.25,0.43,1.32,1.29,1.27,0.84,1.04,1.34
b_0,5.13,5.15,4.45,9.04,20.13,6.33,1.6,1.72,0.62,1.26,0.4,1.23,1.09,0.76,0.97,0.86
f_0,18.44,7.25,4.78,7.24,5.97,6.31,2.15,1.12,1.2,1.67,1.06,0.39,1.29,1.09,1.25,0.78
a_0,7.09,5.76,7.82,7.66,7.85,21.9,1.92,2.03,1.2,1.22,0.66,1.54,0.38,0.99,1.65,0.95
h_0,7.91,7.59,6.71,6.89,6.51,7.08,5.06,1.93,1.45,1.73,1.28,1.36,1.03,3.25,1.32,1.15
e_0,12.34,,6.51,8.38,6.13,5.73,2.38,1.54,1.52,2.44,1.86,0.61,1.26,0.66,0.31,0.87
g_0,8.58,7.45,7.83,7.52,6.88,6.48,1.72,7.24,1.87,2.0,1.52,1.93,1.71,0.95,1.32,3.33
