,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.31,0.93,0.94,0.77,0.6,0.42,0.4,0.49,0.36,0.35,0.37,0.29,0.31,0.28,0.33
e_1,0.77,1.0,0.79,1.18,1.03,0.74,0.53,0.61,0.45,0.43,0.44,0.4,0.34,0.37,0.32,0.31
d_1,1.08,1.26,1.0,0.86,0.8,0.78,0.52,0.45,0.33,0.61,0.4,0.41,0.31,0.32,0.36,0.25
c_1,1.06,0.85,1.16,1.0,1.32,0.75,0.52,0.33,0.47,0.4,0.39,0.36,0.35,0.33,0.35,0.33
b_1,1.28,0.97,1.25,0.75,1.0,1.12,0.57,0.48,0.48,0.47,0.5,0.37,0.35,0.4,0.36,0.4
a_1,1.67,1.35,1.26,1.34,0.9,1.0,0.8,0.71,0.61,0.58,0.55,0.77,0.73,0.47,0.41,0.41
h_1,2.38,1.95,1.81,1.97,1.75,1.25,1.0,0.8,1.02,0.77,0.73,0.71,0.62,0.71,0.58,0.69
d_0,2.47,1.57,2.21,3.28,2.21,1.39,1.25,1.0,1.02,0.86,0.85,0.98,0.76,0.78,0.76,0.85
g_1,2.06,2.21,3.06,2.04,2.08,1.55,0.95,0.97,1.0,0.85,1.0,0.99,0.71,0.69,0.82,0.73
c_0,2.76,2.33,1.68,2.35,2.12,1.57,1.31,1.11,1.21,1.0,0.94,1.37,0.96,0.87,0.81,0.79
f_0,2.75,2.21,2.54,2.55,2.06,1.74,1.4,1.17,1.03,0.99,1.0,1.12,0.88,0.88,1.31,0.57
b_0,2.69,2.47,2.4,3.0,2.65,1.23,1.33,1.03,1.09,0.73,0.92,1.0,1.37,0.91,0.82,0.79
a_0,3.48,2.89,3.23,2.94,3.15,1.61,1.61,1.35,1.33,1.04,1.1,0.77,1.0,1.07,0.97,0.89
h_0,3.4,2.79,3.11,3.05,2.48,1.96,1.36,1.25,1.47,1.15,1.08,1.12,0.92,1.0,0.96,1.07
e_0,3.62,2.88,2.86,2.99,2.85,2.46,1.62,1.14,1.29,1.19,0.85,1.2,1.02,1.01,1.0,0.85
g_0,3.13,3.15,3.84,3.18,2.41,2.45,1.46,1.21,1.37,1.23,1.8,1.29,1.06,0.95,1.1,1.0
