,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.31,1.05,1.1,0.85,0.7,0.45,0.44,0.33,0.36,0.34,,0.3,0.34,0.29,0.36
e_1,0.76,1.0,0.87,0.78,0.89,0.71,0.67,0.45,0.51,0.45,0.47,0.38,0.35,0.34,,0.34
d_1,0.96,1.15,1.0,0.91,0.9,0.81,0.59,0.34,,0.59,0.36,0.5,0.34,0.28,0.3,0.25
c_1,0.91,1.28,1.1,1.0,1.25,0.93,0.5,0.45,0.33,,0.45,0.5,0.33,0.38,0.3,0.47
b_1,1.18,1.12,1.11,0.8,1.0,1.07,0.56,0.49,0.58,0.57,,0.5,0.46,0.29,0.42,
a_1,1.42,1.41,1.24,1.07,0.93,1.0,0.82,0.83,0.48,0.74,0.67,,0.48,,0.43,0.36
h_1,2.21,1.48,1.71,2.01,1.79,1.22,1.0,0.93,0.89,0.93,0.81,0.76,,0.58,0.73,0.96
g_1,2.28,2.2,2.92,2.21,2.05,1.2,1.08,1.0,0.97,1.22,0.83,0.97,0.63,0.83,0.85,
d_0,3.07,1.98,,3.01,1.72,2.07,1.12,1.03,1.0,0.66,0.89,0.78,0.9,0.69,0.88,0.72
c_0,2.76,2.23,1.69,,1.75,1.34,1.08,0.82,1.51,1.0,1.23,0.97,1.0,0.59,0.86,0.67
b_0,2.93,2.11,2.77,2.22,,1.49,1.24,1.2,1.13,0.81,1.0,0.96,1.01,1.13,0.65,0.65
f_0,,2.64,2.0,1.99,2.01,,1.31,1.03,1.29,1.03,1.04,1.0,0.89,0.9,1.15,0.83
h_0,3.3,2.85,2.92,3.05,2.19,2.1,,1.58,1.12,1.0,0.99,1.12,,0.93,0.64,1.23
a_0,2.93,2.91,3.6,2.63,3.5,,1.72,1.2,1.46,1.71,0.88,1.11,1.07,1.0,1.03,0.82
e_0,3.48,,3.32,3.31,2.39,2.34,1.37,1.18,1.14,1.17,1.53,0.87,1.56,0.97,1.0,1.14
g_0,2.78,2.97,4.06,2.13,,2.74,1.04,,1.4,1.5,1.55,1.21,0.81,1.23,0.87,
