,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.0,1.06,0.94,1.17,1.05,0.91,0.81,1.56,0.83,,1.1,0.95,0.95,0.98,0.78
f_1,1.0,1.0,1.42,0.87,0.89,0.97,0.91,0.98,1.03,1.11,0.97,,0.8,0.87,0.95,1.07
e_1,0.94,0.7,1.0,0.87,1.09,1.04,1.14,1.09,0.97,0.95,1.36,0.94,1.03,1.0,,1.05
c_1,1.07,1.15,1.15,1.0,1.27,0.72,0.96,0.98,,0.84,0.83,1.02,0.97,1.05,0.9,1.26
b_1,0.86,1.13,0.92,0.79,1.0,1.94,1.05,0.8,1.24,,0.98,0.76,1.09,1.21,,0.81
a_1,0.95,1.03,0.96,1.38,0.52,1.0,1.17,0.89,0.96,1.3,1.15,0.94,1.32,,0.96,0.86
h_1,1.1,1.1,0.88,1.04,0.95,0.85,1.0,1.36,1.0,0.95,0.77,0.93,,0.82,0.95,1.23
g_1,1.24,1.02,0.92,1.02,1.25,1.12,0.73,1.0,0.86,0.96,1.04,1.04,1.13,0.97,0.78,
c_0,0.64,0.97,1.03,,0.8,1.04,1.0,1.16,1.0,1.3,0.96,1.25,1.03,1.15,0.98,0.98
b_0,1.21,0.9,1.05,1.19,,0.77,1.05,1.04,0.77,1.0,1.22,1.1,0.8,1.46,0.97,0.93
d_0,,1.03,0.74,1.21,1.02,0.87,1.3,0.96,1.04,0.82,1.0,1.16,1.08,1.14,1.09,0.91
f_0,0.91,,1.06,0.98,1.31,1.07,1.08,0.97,0.8,0.91,0.86,1.0,1.02,0.72,,0.76
h_0,1.05,1.25,0.97,1.03,0.92,0.76,,0.89,0.97,1.25,0.93,0.98,,0.85,1.04,1.14
a_0,1.05,1.15,1.0,0.95,0.83,,1.21,1.03,0.87,0.69,0.88,1.38,1.18,1.0,,1.53
e_0,1.02,1.05,,1.11,,1.04,1.06,1.28,1.02,1.03,0.92,,0.96,,1.0,1.03
g_0,1.29,0.93,0.95,0.8,1.24,1.17,0.81,,1.02,1.07,1.1,1.31,0.88,0.65,0.97,
