,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.96,0.87,0.59,0.56,0.49,0.38,0.39,0.35,0.43,0.35,0.3,0.33,0.33,0.22,0.28,0.3
e_1,0.61,0.96,0.76,0.54,0.56,0.42,0.4,0.36,0.6,0.35,0.4,0.33,0.36,0.24,0.29,0.31
c_1,0.66,0.57,0.96,0.63,0.86,0.35,0.43,0.36,0.32,0.29,0.36,0.27,0.37,0.29,0.27,0.31
d_1,0.7,0.65,0.53,0.96,0.54,0.39,0.44,0.33,0.37,0.59,0.37,0.39,0.38,0.29,0.28,0.33
b_1,0.71,0.67,0.58,0.61,0.95,0.74,0.49,0.37,0.38,0.38,0.38,0.31,0.37,0.3,0.25,0.32
a_1,0.82,0.8,0.85,0.75,0.48,0.94,0.52,0.47,0.51,0.41,0.48,0.46,0.46,0.35,0.29,0.35
h_1,1.16,0.92,0.88,0.93,0.75,0.53,0.81,0.63,0.57,0.52,0.54,0.51,0.5,0.39,0.38,0.52
g_1,0.98,0.96,0.94,1.27,0.8,0.56,0.61,0.8,0.54,0.62,0.75,0.54,0.51,0.47,0.41,0.43
d_0,1.01,0.86,1.48,0.79,0.96,0.6,0.65,0.62,0.72,0.45,0.6,0.5,0.59,0.4,0.43,0.44
c_0,1.16,1.05,1.03,0.93,0.77,0.64,0.65,0.59,0.69,0.75,0.56,0.85,0.66,0.52,0.53,0.55
f_0,1.01,0.91,1.1,1.09,0.93,0.63,0.71,0.52,0.62,0.59,0.75,0.59,0.63,0.7,0.43,0.47
b_0,1.18,1.1,1.14,1.1,0.72,0.54,0.68,0.68,0.71,0.56,0.57,0.72,0.69,0.46,0.74,0.5
h_0,1.38,1.06,1.08,1.09,0.91,0.61,0.68,0.79,0.7,0.6,0.61,0.6,0.61,0.48,0.49,0.6
e_0,1.35,1.1,1.04,1.18,1.03,0.72,0.79,0.67,0.68,0.68,0.66,0.73,0.74,0.69,0.49,0.51
a_0,1.27,1.04,1.19,1.28,0.97,0.6,0.78,0.76,0.73,0.68,0.68,0.56,0.73,0.53,0.67,0.55
g_0,1.1,1.08,1.14,1.36,1.05,0.7,0.73,0.63,0.75,0.72,0.87,0.71,0.67,0.61,0.56,0.5
