,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.14,9.32,11.43,14.12,10.24,11.41,2.13,2.35,3.88,2.05,2.39,8.13,1.06,2.23,2.61,2.5
e_1,6.25,1.14,11.71,12.53,14.18,11.53,3.09,2.67,3.65,2.34,2.43,3.76,1.79,2.48,10.6,1.67
d_1,12.8,14.69,1.14,14.67,9.45,10.99,3.65,2.06,1.76,10.6,2.62,2.14,1.51,2.31,2.52,1.32
c_1,15.31,10.87,19.98,1.14,19.53,12.2,3.5,11.13,3.59,1.37,2.3,2.35,1.72,2.08,1.91,1.99
b_1,13.43,16.59,14.39,6.16,1.14,16.61,5.16,3.16,3.73,3.55,10.12,2.63,2.53,3.05,2.71,1.84
a_1,19.81,19.37,20.21,25.27,9.7,1.15,4.61,3.99,6.46,4.13,5.6,5.17,3.67,23.88,4.26,2.84
h_1,27.61,22.52,28.07,27.84,25.21,21.75,1.92,5.57,10.34,5.21,5.29,4.92,9.1,5.56,5.54,3.39
c_0,41.25,33.67,16.02,130.74,37.33,33.49,10.14,2.67,10.18,9.39,6.07,5.63,5.29,6.34,5.46,4.84
g_1,34.71,39.86,32.34,34.97,31.71,42.2,7.39,6.01,1.92,8.53,6.2,6.4,3.64,5.21,5.98,8.64
d_0,32.17,17.88,69.31,41.76,38.3,28.9,13.63,6.93,16.39,2.75,8.01,7.11,4.69,7.25,6.08,4.12
b_0,39.39,40.8,28.3,38.06,140.43,46.89,10.9,3.9,11.59,7.3,2.56,7.31,6.79,7.12,8.24,4.12
f_0,140.24,40.8,35.75,46.26,46.08,32.46,14.53,7.22,8.2,9.12,7.04,2.68,6.5,7.66,8.24,3.49
h_0,59.42,44.46,40.92,48.5,46.81,49.07,37.91,8.59,16.39,11.53,8.49,8.39,19.78,7.81,11.97,8.44
a_0,66.15,66.69,44.68,49.3,67.02,,13.21,8.82,17.23,12.17,5.2,7.76,10.11,2.9,9.76,11.0
e_0,67.42,115.6,47.83,65.37,68.58,68.06,18.96,10.13,23.17,12.17,8.61,4.79,7.22,10.41,2.71,8.07
g_0,64.93,58.78,62.89,54.67,60.18,60.29,15.85,13.86,56.0,17.76,13.42,11.64,7.98,12.69,11.97,24.2
