,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.16,0.05,0.03,0.03,0.03,0.01,0.05,0.07,0.05,0.06,0.07,,0.08,0.06,0.03,0.06
e_1,0.03,2.23,0.03,0.02,0.03,0.02,0.05,0.11,0.05,0.03,0.08,0.04,0.1,0.03,,0.07
d_1,0.03,0.04,2.4,0.02,0.03,0.02,0.04,,0.11,0.04,0.06,0.06,0.08,0.06,0.04,0.08
c_1,0.03,0.03,0.03,2.4,0.05,0.02,0.04,0.06,,0.06,0.06,0.06,0.07,0.06,0.05,0.07
b_1,0.03,0.04,0.02,0.03,2.47,0.04,0.07,0.08,0.06,0.04,,0.05,0.09,0.03,0.03,0.08
a_1,0.03,0.03,0.04,0.03,0.02,3.04,0.05,0.06,0.06,0.05,,0.07,0.08,,0.07,0.06
h_1,0.17,0.09,0.07,0.13,0.1,0.08,2.7,0.2,0.25,0.24,0.2,0.19,,0.2,0.16,0.42
d_0,0.17,0.13,,0.27,0.12,0.1,0.3,2.02,0.34,0.19,0.24,0.26,0.52,0.22,0.26,0.24
c_0,0.16,0.18,0.11,,0.11,0.12,0.24,0.24,2.1,0.23,0.56,0.38,0.38,0.26,0.15,0.31
g_1,0.08,0.12,0.21,0.12,0.1,0.06,0.19,0.19,0.22,3.06,0.23,0.32,0.23,0.15,0.14,
b_0,0.15,0.13,0.17,0.14,,,0.33,0.39,0.37,0.18,2.12,0.23,0.35,0.42,0.26,0.29
f_0,,0.11,0.15,0.12,0.15,0.09,0.32,0.29,0.41,0.27,0.24,2.29,0.42,,0.51,0.39
h_0,0.38,0.21,0.2,0.15,0.22,0.19,,0.51,0.41,0.45,0.39,0.43,,0.22,0.43,0.66
a_0,0.13,0.14,0.16,0.13,0.12,,0.4,0.32,0.37,0.27,0.26,,0.46,2.64,,
e_0,0.12,,0.12,0.11,0.15,0.12,0.43,0.39,0.3,0.31,0.38,0.23,0.35,,2.72,0.35
g_0,0.27,0.13,0.29,0.21,0.14,0.2,0.46,0.35,0.45,,0.54,0.7,0.59,,0.42,
