,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.89,0.22,0.19,0.19,0.13,0.1,0.17,0.16,0.11,0.33,0.16,0.14,0.19,0.11,0.05,0.14
f_1,0.36,0.89,0.18,0.14,0.12,0.11,0.14,0.15,0.09,0.15,0.15,0.04,0.15,0.1,0.07,0.12
d_1,0.2,0.2,0.89,0.14,0.13,0.13,0.17,0.33,0.15,0.07,0.16,0.15,0.17,0.11,0.12,0.13
c_1,0.21,0.19,0.18,0.88,0.25,0.08,0.15,0.06,0.14,0.15,0.14,0.15,0.16,0.08,0.09,0.15
b_1,0.2,0.21,0.19,0.16,0.88,0.22,0.17,0.15,0.1,0.15,0.04,0.14,0.17,0.09,0.1,0.13
a_1,0.21,0.19,0.18,0.18,0.12,0.87,0.18,0.17,0.16,0.12,0.19,0.18,0.18,0.07,0.13,0.15
h_1,0.21,0.33,0.23,0.18,0.16,0.12,0.56,0.19,0.22,0.2,0.22,0.19,0.11,0.13,0.14,0.22
c_0,0.26,0.25,0.26,0.1,0.14,0.12,0.25,0.45,0.18,0.23,0.39,0.21,0.24,0.19,0.15,0.19
g_1,0.19,0.21,0.34,0.17,0.19,0.15,0.17,0.22,0.55,0.15,0.21,0.27,0.16,0.14,0.12,0.08
d_0,0.23,0.25,0.11,0.37,0.17,0.12,0.18,0.18,0.16,0.4,0.2,0.17,0.24,0.14,0.13,0.21
b_0,0.22,0.26,0.29,0.19,0.12,0.1,0.21,0.24,0.16,0.2,0.42,0.19,0.19,0.32,0.14,0.19
f_0,0.17,0.13,0.29,0.25,0.17,0.15,0.22,0.23,0.17,0.26,0.19,0.43,0.23,0.17,0.28,0.19
h_0,0.28,0.33,0.25,0.2,0.17,0.11,0.12,0.2,0.21,0.2,0.23,0.16,0.11,0.14,0.13,0.21
a_0,0.24,0.24,0.29,0.22,0.16,0.03,0.21,0.26,0.16,0.22,0.17,0.18,0.26,0.41,0.16,0.17
e_0,0.11,0.31,0.2,0.2,0.16,0.16,0.27,0.27,0.21,0.19,0.24,0.22,0.27,0.19,0.41,0.18
g_0,0.22,0.22,0.38,0.21,0.15,0.11,0.18,0.23,0.1,0.18,0.21,0.27,0.19,0.15,0.14,0.12
