,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.43,2.37,1.46,1.7,1.44,1.77,2.78,3.02,3.1,3.82,3.59,2.6,4.1,3.66,4.81,3.15
e_1,1.57,2.5,1.5,2.13,1.73,1.55,3.17,3.43,3.37,5.42,3.57,4.12,4.45,3.85,4.46,3.28
d_1,1.8,1.63,2.52,1.45,1.74,1.48,3.34,5.3,3.03,2.95,4.12,3.65,4.66,3.77,4.24,4.25
c_1,1.61,1.35,1.75,2.59,2.63,1.83,3.18,2.92,2.76,3.08,2.9,3.73,4.49,3.29,4.49,3.82
b_1,1.78,1.6,1.68,1.44,2.83,2.74,3.42,3.75,3.44,3.36,3.29,3.85,4.74,3.44,4.33,3.76
a_1,1.56,1.7,1.95,1.68,1.53,3.43,3.38,3.91,3.77,3.66,3.9,3.87,5.29,4.32,5.06,3.99
h_1,2.06,1.63,1.86,1.58,1.55,1.66,4.26,3.47,4.16,3.77,4.04,3.53,4.43,3.7,5.58,3.99
c_0,1.97,1.74,1.57,1.68,1.36,1.78,3.69,4.48,3.62,4.1,5.85,4.17,5.24,4.89,5.09,4.44
g_1,1.61,1.51,2.24,1.85,1.72,1.61,3.09,3.73,4.81,3.28,3.7,4.78,3.86,4.31,3.73,4.33
d_0,1.67,1.35,1.55,2.53,1.94,1.54,3.44,2.9,3.66,4.49,3.7,3.82,4.45,4.19,4.86,4.09
b_0,1.77,1.86,1.7,1.81,1.48,1.52,3.32,3.31,3.39,3.76,4.93,3.82,4.86,6.72,4.91,3.78
f_0,1.7,1.32,2.01,1.73,1.77,1.72,3.99,3.88,3.33,3.55,3.82,5.0,4.37,4.57,4.43,6.97
h_0,2.03,1.78,1.78,1.73,1.6,1.57,3.01,3.38,4.28,3.53,3.7,3.61,4.09,3.78,5.33,3.52
a_0,1.83,1.76,1.81,1.93,1.82,1.38,3.72,3.69,3.05,3.86,3.17,3.69,4.97,5.3,4.26,4.11
g_0,1.53,1.62,2.19,1.78,1.77,1.51,3.09,3.65,3.35,3.5,3.74,4.99,4.45,3.94,4.29,4.59
e_0,1.88,1.62,1.87,1.76,1.79,1.8,3.54,3.66,2.92,3.37,3.52,3.36,4.96,3.91,4.67,5.71
