,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.38,1.2,1.26,1.37,1.13,0.47,0.42,0.61,0.41,0.42,0.59,0.29,0.39,0.4,0.39
e_1,0.89,0.65,1.28,1.55,1.42,1.36,0.66,0.48,0.65,0.58,0.45,0.54,0.44,0.47,0.62,0.42
d_1,1.5,1.58,0.64,1.2,1.19,1.08,0.56,0.55,0.39,0.88,0.49,0.5,0.4,0.44,0.48,0.26
c_1,1.37,1.15,1.79,0.64,1.54,0.97,0.66,0.54,0.62,0.29,0.43,0.45,0.41,0.46,0.42,0.36
b_1,1.43,1.37,1.42,0.86,0.63,1.86,0.61,0.6,0.68,0.53,0.72,0.45,0.44,0.47,0.45,0.42
a_1,1.88,1.75,1.65,2.19,0.89,0.57,0.78,0.7,0.77,0.59,0.87,0.59,0.51,1.01,0.66,0.56
h_1,2.23,1.89,1.8,2.15,1.76,1.63,0.57,0.74,1.06,0.85,0.94,0.77,0.76,0.61,0.62,0.63
c_0,2.62,2.21,1.33,3.78,2.14,1.78,1.07,0.59,0.79,0.92,0.93,0.84,0.62,0.79,0.74,0.62
g_1,2.26,1.94,2.51,2.29,2.25,1.85,0.83,1.02,0.54,0.83,0.67,0.88,0.53,0.98,0.72,0.86
d_0,2.51,1.4,2.58,3.03,2.46,2.2,1.0,0.85,1.1,0.62,0.77,0.71,0.63,0.74,0.72,0.75
b_0,2.41,2.36,1.95,2.99,2.92,1.91,0.89,0.54,1.17,0.85,0.59,0.83,0.65,0.98,0.82,0.84
f_0,3.53,2.16,1.93,2.25,2.38,2.13,1.12,0.88,0.72,0.88,0.93,0.59,0.78,0.79,1.03,0.47
h_0,2.73,2.54,2.43,2.61,2.38,2.23,1.31,1.04,1.17,1.0,0.86,0.85,0.91,0.86,0.87,0.95
a_0,2.97,2.43,2.54,2.42,3.15,3.33,1.27,0.9,1.04,0.9,0.54,0.86,0.83,0.57,0.9,0.78
e_0,3.63,3.43,2.33,2.57,2.6,2.58,1.23,0.91,1.12,1.12,0.87,0.52,0.8,0.87,0.54,0.82
g_0,3.09,2.59,2.89,2.93,2.38,2.33,0.94,1.13,1.43,1.0,0.95,1.23,0.56,0.96,0.8,0.95
