,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.48,0.77,0.39,0.47,0.4,0.35,0.49,0.54,0.44,0.5,0.29,0.51,0.46,0.42,0.33,0.52
e_1,0.43,1.49,0.55,0.39,0.38,0.39,0.49,0.89,0.57,0.57,0.58,0.55,0.75,0.27,0.51,0.44
c_1,0.56,0.41,1.54,0.47,0.73,0.38,0.53,0.46,0.45,0.16,0.52,0.44,0.62,0.33,0.44,0.66
d_1,0.48,0.51,0.42,1.56,0.38,0.35,0.61,0.3,0.46,0.91,0.64,0.51,0.55,0.49,0.44,0.48
b_1,0.56,0.47,0.39,0.53,1.62,0.68,0.48,0.61,0.48,0.45,0.52,0.28,0.66,0.45,0.5,0.55
a_1,0.58,0.51,0.62,0.54,0.35,1.73,0.51,0.72,0.46,0.54,0.51,0.56,0.69,0.5,0.24,0.56
h_1,1.05,0.66,0.76,0.65,0.67,0.56,1.7,0.77,1.05,1.01,0.63,0.75,0.61,0.59,0.65,0.98
d_0,0.9,0.65,1.23,0.43,0.67,0.54,1.0,1.48,0.75,0.93,1.11,0.86,0.98,0.57,0.62,1.2
g_1,0.83,0.67,0.7,1.05,0.66,0.66,0.76,0.83,1.78,0.66,1.2,0.88,0.82,0.87,0.75,0.65
c_0,0.85,0.87,0.51,0.74,0.73,0.58,0.81,0.86,0.99,1.54,0.89,1.5,0.93,0.92,0.88,0.77
f_0,0.52,0.65,0.89,0.9,0.78,0.68,1.0,0.83,0.69,1.01,1.59,0.95,0.97,1.47,0.69,0.98
b_0,0.85,0.86,0.96,0.64,0.41,0.59,1.06,0.93,1.0,0.88,0.93,1.6,0.96,0.73,1.24,0.89
h_0,1.16,0.7,0.75,0.71,0.74,0.66,0.67,0.88,1.06,0.87,0.92,1.07,0.73,0.79,0.7,1.01
e_0,0.78,0.59,0.95,0.72,0.91,0.67,1.16,1.38,0.88,1.06,0.87,1.21,1.13,1.75,1.03,1.15
a_0,1.08,0.67,0.97,0.89,0.78,0.44,1.13,1.19,0.78,0.91,0.82,0.92,1.19,0.93,1.74,1.1
g_0,0.67,0.9,0.79,1.17,0.85,0.63,0.97,0.61,0.46,0.97,1.12,1.03,0.95,0.82,0.69,0.58
