,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.71,1.01,1.16,1.11,0.91,0.97,1.15,1.36,1.09,1.08,0.98,0.91,1.13,1.24,1.09
f_1,1.42,1.0,0.88,0.91,0.91,0.88,0.93,1.06,0.93,0.99,1.06,1.03,0.99,0.94,0.81,0.96
d_1,0.99,1.14,1.0,0.92,0.91,0.92,1.01,0.73,1.39,1.31,0.95,1.19,1.03,1.07,0.94,1.07
c_1,0.86,1.1,1.09,1.0,1.3,1.12,0.93,0.92,0.77,0.7,0.96,0.87,0.95,0.92,1.01,0.95
b_1,0.9,1.1,1.1,0.77,1.0,1.36,1.0,1.08,0.97,1.06,0.79,0.92,1.31,1.0,0.97,1.16
a_1,1.1,1.14,1.09,0.9,0.73,1.0,1.04,1.2,1.03,1.1,1.04,0.99,1.02,1.01,0.97,0.97
h_1,1.02,1.08,0.99,1.07,1.0,0.94,1.0,0.99,0.96,0.9,0.95,0.99,0.81,0.71,1.09,0.81
g_1,0.88,0.94,1.26,1.12,0.92,0.77,1.01,1.0,0.9,0.81,1.2,0.98,0.85,0.92,1.01,0.89
d_0,0.72,1.14,0.73,1.32,0.99,0.91,1.07,1.1,1.0,0.89,1.17,0.85,1.01,0.94,1.05,0.79
c_0,0.95,1.01,0.83,1.41,0.99,0.88,1.12,1.29,1.08,1.0,1.27,1.56,1.05,1.07,1.07,1.11
f_0,0.89,0.92,1.04,1.1,1.28,0.92,1.02,0.82,0.86,0.82,1.0,0.86,0.93,1.64,0.77,0.99
b_0,1.04,0.9,0.84,1.22,1.13,1.02,1.02,1.07,1.14,0.6,1.14,1.0,1.08,0.97,1.24,1.33
h_0,1.01,1.08,1.04,1.03,0.8,0.98,1.22,1.16,0.92,0.89,1.09,0.91,1.0,0.89,1.37,0.86
e_0,0.88,1.12,0.91,1.15,0.99,1.03,1.27,1.1,1.15,0.99,0.63,0.92,1.12,1.0,0.92,0.93
g_0,0.83,1.15,1.07,0.99,1.03,1.01,0.91,1.0,0.91,0.94,1.21,0.85,0.74,1.02,1.0,0.85
a_0,0.92,1.06,0.99,1.05,0.87,1.03,1.25,1.12,1.02,0.94,1.02,0.77,1.17,1.06,1.14,1.0
