,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.53,1.0,1.24,0.91,0.99,0.8,1.14,1.79,1.01,0.98,1.04,1.16,1.06,1.27,0.86,1.18
f_1,1.49,1.55,1.0,0.9,0.94,0.79,0.99,1.29,1.08,0.92,1.08,0.92,1.02,1.1,0.81,1.14
c_1,0.9,1.04,1.57,1.05,1.44,0.84,1.07,0.93,0.98,1.05,0.95,1.11,0.88,1.25,1.02,1.16
d_1,1.05,1.17,0.81,1.58,0.95,0.8,1.27,0.99,1.79,1.05,1.41,1.08,1.11,1.3,1.08,0.99
b_1,1.0,1.07,1.0,1.03,1.6,1.31,1.22,1.15,1.18,1.02,0.93,1.04,0.93,1.27,1.02,1.22
a_1,1.19,1.14,1.19,1.2,0.9,1.77,1.36,1.33,1.23,1.23,1.13,1.25,1.21,1.32,1.25,1.49
h_1,1.25,1.58,1.29,1.3,1.19,1.03,1.89,1.35,1.3,1.45,1.42,1.32,1.38,1.28,1.24,1.6
d_0,1.11,1.28,1.99,1.13,1.36,0.9,1.31,1.83,1.18,1.48,1.15,1.34,1.28,1.57,1.24,1.34
c_0,1.37,1.44,1.22,1.26,1.1,1.09,1.66,1.69,1.88,1.46,2.22,1.7,1.61,1.63,1.22,1.45
g_1,1.22,1.23,1.25,1.74,1.26,1.05,1.37,1.22,1.51,1.98,1.45,1.85,1.37,1.44,1.47,1.27
b_0,1.33,1.33,1.36,1.37,1.25,1.21,1.61,1.59,1.45,1.53,1.93,1.49,2.12,1.6,1.38,1.59
f_0,1.16,1.37,1.34,1.39,1.38,1.15,1.65,1.64,1.48,1.38,1.71,1.93,1.56,1.91,2.22,1.42
a_0,1.39,1.46,1.46,1.41,1.34,0.95,1.7,1.66,1.62,1.48,1.38,1.45,1.96,1.81,1.36,1.62
h_0,1.38,1.7,1.34,1.34,1.3,1.17,1.28,1.52,1.62,1.74,1.64,1.45,1.29,1.54,1.44,1.99
e_0,1.36,1.71,1.31,1.55,1.26,1.0,1.79,1.64,1.7,1.47,1.57,1.32,1.62,1.72,1.89,1.79
g_0,1.4,1.41,1.4,1.84,1.31,1.0,1.58,1.46,1.79,1.34,1.5,1.97,1.34,1.51,1.4,1.56
