,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.42,1.44,0.69,1.29,1.15,1.03,0.36,0.27,0.26,0.45,0.3,0.28,0.16,0.19,0.5,0.27
d_1,1.45,0.41,1.37,1.33,1.11,1.09,0.33,0.49,0.22,0.21,0.23,0.19,0.16,0.1,0.2,0.2
f_1,1.13,1.2,0.42,1.23,1.12,1.08,0.27,0.24,0.25,0.41,0.23,0.41,0.13,0.21,0.24,0.25
c_1,0.95,1.56,1.06,0.42,1.26,1.13,0.34,0.15,0.35,0.32,0.26,0.25,0.18,0.17,0.25,0.19
b_1,1.28,1.49,1.58,0.67,0.39,1.67,0.4,0.27,0.36,0.35,0.43,0.26,0.23,0.21,0.27,0.25
a_1,1.83,1.71,1.65,1.84,0.82,0.32,0.47,0.38,0.32,0.53,0.42,0.34,0.25,0.26,0.28,0.41
h_1,2.02,2.3,2.56,2.13,2.03,1.7,0.3,0.45,0.44,0.62,0.4,0.38,0.39,0.28,0.38,0.44
d_0,1.32,3.4,2.35,2.97,2.48,2.1,0.76,0.33,0.52,0.82,0.57,0.49,0.33,0.38,0.57,0.43
c_0,2.67,1.39,2.96,3.59,2.67,2.18,0.74,0.83,0.32,0.65,0.47,0.47,0.38,0.33,0.48,0.45
g_1,2.33,2.46,2.75,2.56,2.36,2.1,0.51,0.56,0.58,0.28,0.62,0.45,0.27,0.36,0.47,0.43
b_0,2.51,2.05,3.15,3.48,3.6,2.1,0.7,0.55,0.3,0.67,0.3,0.44,0.37,0.4,0.44,0.41
f_0,2.51,2.47,4.51,2.94,2.69,2.05,0.79,0.65,0.55,0.48,0.56,0.31,0.37,0.24,0.45,0.45
h_0,2.92,2.76,2.81,3.16,2.85,2.71,1.09,0.73,0.61,0.87,0.6,0.57,0.6,0.43,0.47,0.49
g_0,2.81,3.24,3.85,3.73,3.21,3.07,0.68,0.84,0.63,1.09,0.6,0.56,0.36,0.64,0.61,0.54
e_0,5.54,2.34,4.14,3.53,3.42,2.41,0.94,0.86,0.67,0.66,0.72,0.38,0.5,0.46,0.27,0.5
a_0,3.11,2.62,4.27,4.08,4.23,4.68,1.0,0.69,0.57,0.94,0.39,0.67,0.51,0.5,0.59,0.29
